"","CardNames","DeckCount","WinrateAverage"
"1","Blitz of the Thunder-Raptor",1,85.7
"2","Fblthp, the Lost",4,82.9
"3","Omen of the Forge",4,82.9
"4","Callous Bloodmage",5,80.5
"5","Oath of Jace",1,80
"6","Treacherous Blessing",1,80
"7","Llanowar Wastes",1,80
"8","Archon of Sun's Grace",6,79.6
"9","Deputy of Detention",6,79.6
"10","Sin Collector",6,79.6
"11","Enigmatic Incarnation",6,79.6
"12","Nylea's Presence",6,79.6
"13","Renegade Rallier",5,79.5
"14","Fires of Invention",7,78.2
"15","Lithoform Blight",6,78
"16","Rest in Peace",2,77.8
"17","Moon-Blessed Cleric",5,77.5
"18","Toolcraft Exemplar",1,75
"19","Shrapnel Blast",1,75
"20","Zulaport Cutthroat",1,75
"21","Languish",1,75
"22","Assassin's Trophy",1,75
"23","Essence Extraction",1,75
"24","Dead Weight",1,75
"25","The Royal Scions",1,75
"26","Thassa, Deep-Dwelling",1,75
"27","Alpine Moon",1,75
"28","Caves of Koilos",7,74.5
"29","Knight of Autumn",10,74.3
"30","Trial of Ambition",9,73.5
"31","Radiant Flames",4,73.3
"32","Kazuul's Fury",2,73.3
"33","Glasspool Mimic",9,73.1
"34","Binding the Old Gods",10,73
"35","Hall of Storm Giants",3,72.7
"36","Tolsimir, Friend to Wolves",17,72.4
"37","Chained to the Rocks",15,72.3
"38","Darkbore Pathway",14,71.8
"39","Oath of Kaya",15,71.7
"40","The Scarab God",12,71.7
"41","Bolas's Citadel",2,71.4
"42","Deafening Clarion",2,71.4
"43","Domri, Chaos Bringer",2,71.4
"44","Xenagos, the Reveler",2,71.4
"45","Birgi, God of Storytelling",2,71.4
"46","Oviya Pashiri, Sage Lifecrafter",2,71.4
"47","Mox Amber",2,71.4
"48","Anafenza, the Foremost",1,71.4
"49","Loxodon Smiter",1,71.4
"50","Dauntless Bodyguard",1,71.4
