"","CardNames","DeckCount","WinrateAverage"
"1","Mystical Dispute",158,64.3
"2","Aether Gust",97,64.9
"3","Rest in Peace",66,64
"4","Duress",55,68.8
"5","Soul-Guide Lantern",55,68.8
"6","Lurrus of the Dream-Den",55,65.6
"7","Go Blank",53,69.1
"8","Magma Spray",52,64.5
"9","Narset, Parter of Veils",52,67.1
"10","Anger of the Gods",50,64.4
"11","Archon of Emeria",43,65.1
"12","Disdainful Stroke",42,62.9
"13","Negate",41,67.6
"14","Legion's End",37,71.8
"15","Self-Inflicted Wound",33,70.2
"16","Abrade",32,64.7
"17","Skyclave Apparition",32,64.5
"18","Shadows' Verdict",31,65.9
"19","Settle the Wreckage",29,62.6
"20","Thought Distortion",27,64
"21","Permeating Mass",27,61.7
"22","Roiling Vortex",27,61.4
"23","Heartless Act",26,69.3
"24","Aethersphere Harvester",26,70.9
"25","Damping Sphere",26,64.1
"26","Kalitas, Traitor of Ghet",25,64.5
"27","Grafdigger's Cage",23,60.1
"28","Scrabbling Claws",22,67.9
"29","Thoughtseize",22,66.4
"30","Chained to the Rocks",22,64.5
"31","Fatal Push",21,65.5
"32","Reidane, God of the Worthy",21,60.6
"33","Feed the Swarm",21,67.3
"34","Notion Thief",21,65.3
"35","Fry",20,68
"36","Ral, Izzet Viceroy",20,66.4
"37","Alpine Moon",19,64.7
"38","Yorion, Sky Nomad",19,65.9
"39","Searing Blood",18,62.3
"40","Collective Brutality",17,74.2
"41","Jegantha, the Wellspring",17,66.1
"42","Scavenging Ooze",15,64.6
"43","Lava Coil",14,65
"44","Wilt",13,58.6
"45","Brazen Borrower",13,63.2
"46","Sprite Dragon",12,67.1
"47","Peer into the Abyss",12,58.8
"48","Ugin, the Spirit Dragon",12,59.5
"49","Chandra, Torch of Defiance",12,61.5
"50","Rampaging Ferocidon",12,57.7
