"","CardNames","DeckCount","WinrateAverage"
"1","Lofty Denial",1,85.7
"2","Hazoret the Fervent",2,81.8
"3","Golos, Tireless Pilgrim",1,80
"4","Acquisitions Expert",2,78.6
"5","Kraul Harpooner",3,76.2
"6","Yasharn, Implacable Earth",4,75.9
"7","Flaying Tendrils",1,75
"8","Ixalan's Binding",1,75
"9","Omen of the Forge",1,75
"10","Crumble to Dust",1,75
"11","Tolsimir, Friend to Wolves",1,75
"12","Murderous Rider",1,75
"13","Collective Brutality",18,74.2
"14","Thought Erasure",4,74.2
"15","Extinction Event",8,73.6
"16","Jace's Defeat",4,73.3
"17","Young Pyromancer",11,72.7
"18","Gruul Charm",14,72.2
"19","Leyline of Combustion",3,72.2
"20","Angrath's Rampage",3,72.2
"21","Lyra Dawnbringer",3,72
"22","Legion's End",39,71.9
"23","Korvold, Fae-Cursed King",2,71.4
"24","Eidolon of Rhetoric",2,71.4
"25","Lavinia, Azorius Renegade",1,71.4
"26","Arashin Cleric",1,71.4
"27","Disenchant",1,71.4
"28","Selfless Spirit",1,71.4
"29","Spirit of the Labyrinth",1,71.4
"30","Inscription of Abundance",1,71.4
"31","Snakeskin Veil",1,71.4
"32","Redcap Melee",1,71.4
"33","Fiery Impulse",1,71.4
"34","Fight as One",1,71.4
"35","Tibalt, Rakish Instigator",1,71.4
"36","Cleansing Wildfire",1,71.4
"37","Rakdos's Return",10,71.2
"38","Monastery Mentor",5,71.1
"39","Tireless Tracker",5,71.1
"40","Aethersphere Harvester",27,71
"41","Radiant Flames",6,70.5
"42","Self-Inflicted Wound",35,70.4
"43","Enter the God-Eternals",9,69.7
"44","Leyline of the Void",5,69.7
"45","Duress",61,69.4
"46","Heartless Act",27,69.4
"47","Go Blank",56,69.2
"48","Gifted Aetherborn",7,69.2
"49","Sprite Dragon",15,69.1
"50","Despise",4,69
