"","Artist","NoCopies","Winrate"
"1","Rob Alexander",1174,0.652
"2","Douglas Shuler",1053,0.655
"3","Eric Deschamps",562,0.659
"4","Ekaterina Burmak",513,0.653
"5","Jonas De Ro",491,0.647
"6","Adam Paquette",486,0.646
"7","Ryan Pancoast",416,0.664
"8","Aleksi Briclot",405,0.666
"9","Howard Lyon",390,0.67
"10","Mark Poole",389,0.649
"11","Magali Villeneuve",386,0.649
"12","Raymond Swanland",368,0.638
"13","Titus Lunter",345,0.662
"14","Kieran Yanner",329,0.66
"15","Svetlin Velinov",328,0.634
"16","Christopher Rush",318,0.649
"17","Daniel Ljunggren",311,0.632
"18","Josh Hass",304,0.678
"19","Franz Vohwinkel",301,0.644
"20","Jesper Myrfors",295,0.641
"21","Tomasz Jedruszek",286,0.662
"22","Dan Frazier",277,0.664
"23","Victor Adame Minguez",273,0.649
"24","Cynthia Sheppard",268,0.681
"25","Steve Argyle",266,0.604
"26","Fred Fields",261,0.667
"27","Jason Rainville",259,0.661
"28","Lius Lasahido",256,0.648
"29","Noah Bradley",255,0.637
"30","Wesley Burt",253,0.64
"31","Dmitry Burmak",252,0.648
"32","Daarken",252,0.651
"33","Mathias Kollros",252,0.681
"34","Slawomir Maniak",250,0.658
"35","Aaron Miller",248,0.674
"36","Jason A. Engle",248,0.656
"37","Christine Choi",240,0.642
"38","John Avon",238,0.647
"39","G-host Lee",238,0.673
"40","Matt Stewart",233,0.647
"41","Anastasia Ovchinnikova",222,0.65
"42","Jesper Ejsing",221,0.634
"43","Zoltan Boros",219,0.645
"44","Chris Rahn",218,0.664
"45","Donato Giancola",216,0.654
"46","Chase Stone",215,0.657
"47","Cliff Childs",211,0.663
"48","Yeong-Hao Han",208,0.633
"49","Ryan Yee",207,0.665
"50","John Howe",202,0.662
"51","Cyril Van Der Haegen",192,0.619
"52","Johannes Voss",191,0.642
"53","Sam Burley",189,0.651
"54","Terese Nielsen",188,0.652
"55","John Stanko",178,0.654
"56","Wayne Reynolds",164,0.65
"57","Alex Konstad",159,0.678
"58","Chris Seaman",157,0.661
"59","Caio Monteiro",157,0.665
"60","Jarreau Wimberly",157,0.664
"61","Vincent Proce",154,0.66
"62","Jason Chan",154,0.653
"63","James Ryman",154,0.653
"64","Volkan Baǵa",146,0.614
"65","Wylie Beckert",142,0.681
"66","Dave Kendall",141,0.63
"67","Dan Scott",140,0.666
"68","Piotr Dura",132,0.678
"69","David Palumbo",132,0.678
"70","Richard Wright",129,0.64
"71","Grzegorz Rutkowski",128,0.616
"72","Izzy",126,0.61
"73","Robbie Trevino",124,0.632
"74","Igor Kieryluk",124,0.628
"75","Zhang Jiazhen",122,0.662
"76","Randy Vargas",115,0.638
"77","Anna Steinbauer",115,0.631
"78","Winona Nelson",113,0.643
"79","Campbell White",107,0.611
"80","Ravenna Tran",104,0.68
"81","Steven Belledin",104,0.672
"82","Johann Bodin",100,0.688
"83","Anson Maddocks",100,0.631
