"","CardNames","DeckCount","Winrate95Min"
"1","Collective Brutality",21,65.1
"2","Legion's End",47,64
"3","Narset, Parter of Veils",56,63.4
"4","Go Blank",56,63.4
"5","Soul-Guide Lantern",62,62.6
"6","Aether Gust",100,62.6
"7","Self-Inflicted Wound",37,62.2
"8","Duress",51,62.2
"9","Mystical Dispute",180,62.1
"10","Negate",38,61.5
"11","Kalitas, Traitor of Ghet",32,61.1
"12","Shadows' Verdict",41,61
"13","Aethersphere Harvester",30,60.9
"14","Lurrus of the Dream-Den",59,60.7
"15","Magma Spray",48,60.5
"16","Archon of Emeria",51,60.5
"17","Rest in Peace",83,60.5
"18","Thoughtseize",30,60.1
"19","Feed the Swarm",22,60
"20","Fry",19,59.9
"21","Enter the God-Eternals",12,59.8
"22","Damping Sphere",29,59.7
"23","Young Pyromancer",9,59.3
"24","Yorion, Sky Nomad",31,59.1
"25","Rakdos's Return",18,58.8
"26","Scrabbling Claws",24,58.8
"27","Skyclave Apparition",30,58.7
"28","Anger of the Gods",46,58.6
"29","Gifted Aetherborn",7,58.5
"30","Radiant Flames",7,58.3
"31","Jegantha, the Wellspring",21,58.3
"32","Heartless Act",26,58.2
"33","Abrade",30,58.2
"34","Monastery Mentor",6,58.1
"35","Dreadbore",10,58.1
"36","Cling to Dust",13,58.1
"37","Extinction Event",11,58
"38","Test of Talents",13,58
"39","Thought Distortion",28,58
"40","Ral, Izzet Viceroy",16,57.7
"41","Settle the Wreckage",31,57.7
"42","Gruul Charm",22,57.6
"43","Disdainful Stroke",39,56.9
"44","Fatal Push",34,56.8
"45","Crippling Fear",10,56.4
"46","Permeating Mass",27,56.2
"47","Kolaghan's Command",12,55.9
"48","Notion Thief",33,55.9
"49","Rending Volley",12,55.8
"50","Chained to the Rocks",25,55.5
