"","CardNames","DeckCount","WinrateAverage"
"1","Ob Nixilis Reignited",1,100
"2","Scattered Groves",2,93.3
"3","Chandra, Dressed to Kill",2,87.5
"4","Swan Song",3,83.3
"5","Skewer the Critics",3,83.3
"6","Ghitu Lavarunner",3,78.6
"7","Light Up the Stage",3,78.6
"8","Wild Slash",3,78.6
"9","Edgar, Charmed Groom",8,78.2
"10","Farewell",1,77.8
"11","Dark Petition",12,77.5
"12","Jwari Disruption",2,76.9
"13","Silence",6,76.5
"14","Sorin, Imperious Bloodlord",13,76.2
"15","Champion of Dusk",13,76.2
"16","Dusk Legion Zealot",13,76.2
"17","Gifted Aetherborn",13,76.2
"18","Voldaren Estate",13,76.2
"19","Behold the Beyond",13,75.6
"20","Angrath's Rampage",4,75
"21","Surrak, the Hunt Caller",3,75
"22","Reinforced Ronin",2,75
"23","Kogla, the Titan Ape",2,75
"24","Sundown Pass",2,75
"25","Hidetsugu Consumes All",1,75
"26","Dragonmaster Outcast",1,75
"27","Dreamroot Cascade",1,75
"28","Rockfall Vale",1,75
"29","Sheltered Thicket",1,75
"30","Tasigur, the Golden Fang",1,75
"31","Yahenni's Expertise",1,75
"32","Spell Pierce",1,75
"33","Kiora, Behemoth Beckoner",1,75
"34","Elder Gargaroth",1,75
"35","Storm the Festival",1,75
"36","Bonders' Enclave",1,75
"37","Bomat Courier",1,75
"38","Searing Blood",1,75
"39","Shrapnel Blast",1,75
"40","Skullcrack",1,75
"41","Archon of Emeria",1,75
"42","Cathar Commando",1,75
"43","Containment Priest",1,75
"44","Dryad Militant",1,75
"45","Eldrazi Displacer",1,75
"46","Spirit of the Labyrinth",1,75
"47","Shefet Dunes",1,75
"48","Lion Sash",1,75
"49","Roadside Reliquary",1,75
"50","Kalitas, Traitor of Ghet",17,74.8
