"","CardNames","DeckCount","Winrate95Min"
"1","Lurrus of the Dream-Den",46,67.3
"2","Apostle of Purifying Light",8,66.9
"3","Adanto Vanguard",7,65.3
"4","Light of Hope",7,65.3
"5","Redcap Melee",7,65.3
"6","Thoughtseize",13,65.1
"7","Deafening Clarion",6,65
"8","Hushbringer",15,62.5
"9","Natural State",5,62.4
"10","Glass Casket",15,62.1
"11","Grafdigger's Cage",22,61.5
"12","Mystical Dispute",43,61.3
"13","Roiling Vortex",8,60.9
"14","Bolas's Citadel",5,60.8
"15","Lantern of the Lost",12,60.5
"16","Witch's Oven",4,60
"17","Damping Sphere",4,60
"18","Skysovereign, Consul Flagship",4,60
"19","Tormod's Crypt",4,60
"20","Treasure Vault",4,60
"21","Pithing Needle",5,59.8
"22","Rending Volley",7,59.7
"23","Go Blank",25,59.5
"24","Oni-Cult Anvil",3,59.3
"25","Fatal Push",11,59.3
"26","Cathar Commando",11,59.1
"27","Abrupt Decay",7,58.9
"28","Anger of the Gods",16,58.7
"29","Stubborn Denial",13,58.6
"30","Deafening Silence",23,58.5
"31","Play with Fire",3,57.7
"32","Duress",14,57.4
"33","Fry",8,55.9
"34","Necromentia",11,55.7
"35","Jegantha, the Wellspring",7,55.4
"36","Thought Distortion",8,54.9
"37","Lagonna-Band Trailblazer",4,54.6
"38","March of Otherworldly Light",11,54.6
"39","Feed the Swarm",11,54.6
"40","Aether Gust",14,54.6
"41","Approach of the Second Sun",5,54.1
"42","Ugin, the Spirit Dragon",5,54.1
"43","Lava Coil",10,54
"44","Dead Weight",3,52.4
"45","Stern Dismissal",8,52.1
"46","Soul-Guide Lantern",7,52
"47","Raze the Effigy",2,51.9
"48","Rest in Peace",11,51.7
"49","Kroxa, Titan of Death's Hunger",3,51.6
"50","Legion's End",8,51.4
