"","Artist","NoCopies","Winrate"
"1","Rob Alexander",1373,0.71
"2","Magali Villeneuve",765,0.716
"3","Svetlin Velinov",629,0.711
"4","Slawomir Maniak",629,0.701
"5","Jonas De Ro",603,0.714
"6","Johannes Voss",582,0.71
"7","Adam Paquette",572,0.705
"8","Steve Argyle",554,0.703
"9","Chris Rallis",527,0.708
"10","Eric Deschamps",521,0.711
"11","Kieran Yanner",483,0.707
"12","Tomasz Jedruszek",458,0.707
"13","Lucas Graciano",455,0.712
"14","Anastasia Ovchinnikova",434,0.71
"15","Zezhou Chen",428,0.705
"16","Douglas Shuler",379,0.71
"17","John Howe",370,0.706
"18","Wesley Burt",357,0.705
"19","Ekaterina Burmak",355,0.716
"20","Seb McKinnon",348,0.703
"21","Daarken",341,0.713
"22","Anson Maddocks",332,0.703
"23","Victor Adame Minguez",316,0.709
"24","Joseph Meehan",314,0.715
"25","Cynthia Sheppard",314,0.7
"26","Aleksi Briclot",299,0.718
"27","Piotr Dura",290,0.719
"28","Titus Lunter",286,0.71
"29","Winona Nelson",258,0.714
"30","John Avon",257,0.724
"31","Mark Poole",254,0.712
"32","Christopher Rush",238,0.682
"33","Noah Bradley",233,0.728
"34","Alayna Danner",231,0.715
"35","John Stanko",216,0.706
"36","Ryan Pancoast",211,0.719
"37","Cristi Balanescu",192,0.716
"38","Vance Kovacs",190,0.71
"39","Ravenna Tran",185,0.717
"40","Wayne Reynolds",177,0.706
"41","Izzy",177,0.712
"42","Jason Rainville",175,0.71
"43","Sam Burley",173,0.71
"44","Lucas Staniec",168,0.722
"45","Raoul Vitale",167,0.716
"46","Franz Vohwinkel",161,0.705
"47","Dan Scott",161,0.695
"48","Gabor Szikszai",158,0.71
"49","Igor Kieryluk",155,0.701
"50","Karl Kopinski",153,0.725
"51","Andreas Rocha",149,0.714
"52","Jung Park",145,0.684
"53","Campbell White",138,0.673
"54","Yeong-Hao Han",137,0.711
"55","Wylie Beckert",135,0.71
"56","Volkan Baǵa",134,0.721
"57","Dan Frazier",129,0.709
"58","Chris Ostrowski",126,0.714
