"","CardNames","DeckCount","WinrateAverage"
"1","Otawara, Soaring City",151,71
"2","Island",137,71.2
"3","Mountain",115,71
"4","Den of the Bugbear",114,70.7
"5","Sokenzan, Crucible of Defiance",104,71.9
"6","Consider",100,70.7
"7","Expressive Iteration",96,70.9
"8","Opt",94,70.6
"9","Steam Vents",94,70.9
"10","Spirebluff Canal",88,70.9
"11","Riverglide Pathway",87,70.8
"12","Treasure Cruise",84,70.9
"13","Fable of the Mirror-Breaker",80,71.5
"14","Soul-Scar Mage",77,70.4
"15","Hall of Storm Giants",76,71.1
"16","Monastery Swiftspear",75,70.4
"17","Ledger Shredder",72,69.7
"18","Boseiju, Who Endures",66,70.9
"19","Fatal Push",64,70.9
"20","Play with Fire",64,70.1
"21","Bonecrusher Giant",61,71.3
"22","Stormcarved Coast",59,71.1
"23","Thoughtseize",59,70.2
"24","Reckless Rage",58,70.6
"25","Swamp",57,71
"26","Blood Crypt",55,72.1
"27","Elvish Mystic",55,70.3
"28","Llanowar Elves",55,70.3
"29","Strangle",55,71.7
"30","Fiery Impulse",54,71.6
"31","Needleverge Pathway",53,71.9
"32","Hallowed Fountain",53,70.7
"33","Temple Garden",51,71.5
"34","Sacred Foundry",50,71.8
"35","Takenuma, Abandoned Mire",49,71.4
"36","Flame-Blessed Bolt",49,72
"37","Hive of the Eye Tyrant",49,71.5
"38","Branchloft Pathway",48,71.7
"39","Blightstep Pathway",47,71.7
"40","Urborg, Tomb of Yawgmoth",46,72.7
"41","Eiganjo, Seat of the Empire",46,71.8
"42","Mana Confluence",46,72.7
"43","Plains",44,70.5
"44","Haunted Ridge",43,72.1
"45","Kroxa, Titan of Death's Hunger",42,71.6
"46","Lair of the Hydra",42,70.4
"47","Stomping Ground",42,71.2
"48","Forest",41,68.8
"49","Esika's Chariot",41,71.9
"50","Chandra, Torch of Defiance",41,71.1
