"","CardNames","DeckCount","WinrateAverage"
"1","Pithing Needle",245,73.4
"2","Rending Volley",220,72.3
"3","Mystical Dispute",185,72.8
"4","Unlicensed Hearse",145,71.8
"5","Rest in Peace",141,71.1
"6","Go Blank",119,72.9
"7","Extinction Event",118,73
"8","Duress",115,73.4
"9","Abrade",110,74.5
"10","Damping Sphere",110,74.2
"11","Skysovereign, Consul Flagship",105,73.3
"12","Reckoner Bankbuster",100,73.1
"13","Disdainful Stroke",95,72.8
"14","Portable Hole",89,72.9
"15","Shapers' Sanctuary",77,71.5
"16","Reidane, God of the Worthy",77,71.6
"17","Aether Gust",76,73.3
"18","The Stone Brain",70,73.9
"19","Tormod's Crypt",70,74
"20","Haywire Mite",70,74.3
"21","Cityscape Leveler",68,74.3
"22","The Chain Veil",66,74.7
"23","Pestilent Cauldron",66,74.7
"24","Transmogrifying Wand",62,74.7
"25","Narset's Reversal",57,71.7
"26","Supreme Verdict",57,71.3
"27","Darksteel Citadel",57,75.3
"28","Fry",55,72.7
"29","Thought Distortion",53,72.6
"30","Approach of the Second Sun",52,72.9
"31","Zacama, Primal Calamity",49,73
"32","The Mightstone and Weakstone",48,76.1
"33","Yorion, Sky Nomad",47,73.3
"34","Deafening Silence",47,73
"35","Esika's Chariot",46,73.8
"36","Woodcaller Automaton",46,77
"37","Dovin's Veto",43,69.8
"38","The Akroan War",43,73.3
"39","Hazoret the Fervent",43,74.4
"40","Embercleave",42,73.2
"41","Archon of Emeria",42,72.7
"42","Languish",41,73.3
"43","Behold the Multiverse",40,74.3
"44","Tear Asunder",40,71.8
"45","Path of Peril",39,73.4
"46","Negate",39,74.4
"47","Hullbreaker Horror",37,71.9
"48","Ratchet Bomb",37,77
"49","Fatal Push",35,72.4
"50","Arlinn, the Pack's Hope",35,72
