"","CardNames","DeckCount","Winrate95Min"
"1","Impulse",33,66
"2","Boseiju, Who Endures",99,65.5
"3","Overgrown Tomb",14,65.4
"4","Island",91,65.3
"5","Blooming Marsh",12,65.2
"6","Behold the Beyond",27,65.2
"7","Emergent Ultimatum",27,65.2
"8","Omniscience",27,65.2
"9","Temple of Mystery",27,65.2
"10","Sylvan Scrying",27,65.2
"11","Lotus Field",27,65.2
"12","Thespian's Stage",27,65.2
"13","Mastermind's Acquisition",27,65.2
"14","Lier, Disciple of the Drowned",27,65.2
"15","Arboreal Grazer",27,65.2
"16","Vizier of Tumbling Sands",27,65.2
"17","Hidden Strings",27,65.2
"18","Pore Over the Pages",27,65.2
"19","Bala Ged Recovery",27,65.2
"20","Power Word Kill",36,64.9
"21","Otawara, Soaring City",85,64.9
"22","Swamp",61,64.8
"23","Botanical Sanctum",31,64.7
"24","Thoughtseize",45,64.6
"25","Takenuma, Abandoned Mire",43,64.5
"26","Forest",49,64.3
"27","Elvish Mystic",54,64.2
"28","Llanowar Elves",54,64.2
"29","Fatal Push",54,64.2
"30","Breeding Pool",36,64
"31","Urborg, Tomb of Yawgmoth",49,63.9
"32","Graveyard Trespasser",37,63.8
"33","Nykthos, Shrine to Nyx",50,63.8
"34","Fable of the Mirror-Breaker",67,63.8
"35","Hope Tender",15,63.7
"36","Lair of the Hydra",52,63.7
"37","Misery's Shadow",29,63.6
"38","Hive of the Eye Tyrant",49,63.6
"39","Dark Petition",23,63.5
"40","Make Disappear",28,63.5
"41","Blood Crypt",46,63.4
"42","Mountain",66,63.4
"43","Sokenzan, Crucible of Defiance",75,63.4
"44","Wolfwillow Haven",30,63.3
"45","Kiora, Behemoth Beckoner",30,63.3
"46","Cavalier of Thorns",30,63.3
"47","Storm the Festival",30,63.3
"48","Castle Locthwain",39,63.3
"49","Blightstep Pathway",45,63.3
"50","Den of the Bugbear",61,63.3
