"","CardNames","DeckCount","WinrateAverage"
"1","Boseiju, Who Endures",99,69
"2","Island",91,69
"3","Otawara, Soaring City",85,68.7
"4","Sokenzan, Crucible of Defiance",75,67.5
"5","Plains",72,67
"6","Fable of the Mirror-Breaker",67,68.1
"7","Mountain",66,67.7
"8","Eiganjo, Seat of the Empire",64,67.2
"9","Swamp",61,69.3
"10","Den of the Bugbear",61,67.8
"11","Mutavault",56,67.9
"12","Elvish Mystic",54,69
"13","Llanowar Elves",54,69
"14","Fatal Push",54,69
"15","Lair of the Hydra",52,68.6
"16","Bonecrusher Giant",51,67.7
"17","Nykthos, Shrine to Nyx",50,68.8
"18","Forest",49,69.3
"19","Hive of the Eye Tyrant",49,68.7
"20","Urborg, Tomb of Yawgmoth",49,68.9
"21","Blood Crypt",46,68.6
"22","Hall of Storm Giants",46,67.1
"23","Thoughtseize",45,69.8
"24","Blightstep Pathway",45,68.5
"25","Takenuma, Abandoned Mire",43,69.9
"26","Hallowed Fountain",43,67.1
"27","Sheoldred, the Apocalypse",42,68.7
"28","Bloodtithe Harvester",42,68.3
"29","Castle Locthwain",39,68.9
"30","Sulfurous Springs",38,67.9
"31","Skyclave Apparition",38,65.7
"32","Haunted Ridge",38,68.3
"33","Graveyard Trespasser",37,69.5
"34","Breeding Pool",36,69.9
"35","Field of Ruin",36,68.8
"36","Power Word Kill",36,70.7
"37","Lovestruck Beast",35,67.9
"38","Impulse",33,72
"39","Shark Typhoon",33,68.6
"40","Castle Ardenvale",33,67.2
"41","Karn, the Great Creator",32,69.5
"42","Old-Growth Troll",31,69.4
"43","Oath of Nissa",31,69.4
"44","Botanical Sanctum",31,70.9
"45","Skysovereign, Consul Flagship",31,67.7
"46","Supreme Verdict",31,66.5
"47","Kroxa, Titan of Death's Hunger",31,69.1
"48","Wolfwillow Haven",30,69.8
"49","Kiora, Behemoth Beckoner",30,69.8
"50","Cavalier of Thorns",30,69.8
