"","SetCode","NoCopies","Winrate"
"1","LEA",1590,0.685
"2","NEO",1175,0.683
"3","MID",1041,0.687
"4","ELD",928,0.68
"5","KHM",904,0.684
"6","AFR",797,0.68
"7","WAR",745,0.687
"8","ZNR",737,0.681
"9","BRO",566,0.681
"10","SNC",550,0.67
"11","M20",530,0.685
"12","VOW",512,0.685
"13","IKO",456,0.693
"14","KLD",406,0.704
"15","DIS",383,0.685
"16","DMU",378,0.688
"17","AKH",373,0.691
"18","RTR",362,0.68
"19","THS",353,0.691
"20","ICE",343,0.662
"21","THB",340,0.68
"22","SOI",339,0.695
"23","AER",334,0.694
"24","DTK",312,0.674
"25","DOM",270,0.674
"26","LRW",249,0.703
"27","M14",216,0.689
"28","RAV",212,0.701
"29","GPT",211,0.679
"30","XLN",202,0.679
"31","ORI",201,0.703
"32","MOR",198,0.685
"33","STX",192,0.686
"34","SOK",183,0.693
"35","KTK",179,0.682
"36","M19",177,0.677
"37","OGW",176,0.683
"38","HOU",175,0.685
"39","M21",149,0.686
"40","EMN",148,0.673
"41","M10",140,0.685
"42","RIX",134,0.712
"43","GRN",133,0.692
"44","VIS",132,0.72
"45","GTC",131,0.702
"46","DGM",118,0.706
"47","INV",116,0.669
"48","ZEN",116,0.68
"49","MRD",109,0.718
"50","USG",94,0.689
"51","DKA",72,0.676
"52","BFZ",69,0.673
"53","PLC",50,0.689
"54","APC",50,0.734
"55","RNA",42,0.655
"56","ISD",38,0.696
"57","CMD",31,0.674
"58","BNG",30,0.752
"59","TSP",29,0.671
"60","M13",27,0.718
"61","FRF",21,0.67
"62","MBS",11,0.71
"63","JOU",9,0.696
"64","ALA",6,0.8
"65","ONS",5,0.714
"66","SCG",3,0.714
"67","ROE",3,0.571
"68","PTK",3,0.571
