"","SetCode","NoCopies","Winrate"
"1","LEA",2851,0.718
"2","NEO",2132,0.719
"3","MID",1916,0.722
"4","KHM",1747,0.722
"5","ELD",1743,0.716
"6","AFR",1482,0.719
"7","ZNR",1389,0.725
"8","WAR",1372,0.719
"9","SNC",1050,0.715
"10","BRO",1040,0.714
"11","M20",1026,0.727
"12","VOW",839,0.717
"13","IKO",794,0.722
"14","KLD",716,0.731
"15","THS",688,0.727
"16","DIS",669,0.717
"17","AKH",658,0.723
"18","THB",654,0.716
"19","AER",638,0.726
"20","DMU",631,0.715
"21","RTR",625,0.71
"22","ICE",608,0.707
"23","DTK",593,0.72
"24","SOI",563,0.728
"25","LRW",479,0.733
"26","RAV",478,0.739
"27","DOM",472,0.712
"28","XLN",407,0.728
"29","GPT",398,0.716
"30","M14",397,0.716
"31","M19",378,0.729
"32","SOK",377,0.729
"33","ORI",368,0.737
"34","KTK",333,0.73
"35","STX",333,0.718
"36","OGW",329,0.719
"37","MOR",326,0.717
"38","HOU",322,0.725
"39","GRN",284,0.735
"40","M10",273,0.721
"41","VIS",235,0.746
"42","M21",228,0.721
"43","GTC",226,0.734
"44","RIX",218,0.74
"45","EMN",217,0.704
"46","DGM",214,0.733
"47","INV",211,0.712
"48","MRD",197,0.744
"49","ZEN",181,0.716
"50","USG",174,0.724
"51","DKA",98,0.69
"52","PLC",92,0.723
"53","BFZ",91,0.683
"54","APC",89,0.75
"55","RNA",76,0.713
"56","M15",69,0.728
"57","TSP",65,0.752
"58","ISD",63,0.721
"59","BNG",58,0.765
"60","CMD",55,0.699
"61","M13",48,0.745
"62","FRF",47,0.741
"63","JOU",33,0.744
"64","MBS",19,0.72
"65","ALA",8,0.793
"66","PTK",5,0.636
"67","ONS",5,0.714
"68","SCG",3,0.714
"69","ROE",3,0.571
