"CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"Atraxa, Grand Unifier",2,2,7,8,87.5,47.3,99.7," 1 Izzet Creativity 
 1 Simic Lotus Strings 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-1012520679#deck_alemilan19 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-1612523109#deck_sneakymisato 
","Marta Nael","B,G,U,W",7,"Creature","ONE",0,0.4,1
"Blue Sun's Twilight",18,6,31,46,67.4,52,80.5," 5 Dimir Control 
 1 Phoenix 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-showcase-challenge-2023-02-1212520651#deck_WaToO 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-super-qualifier-2023-02-1812523093#deck_WaToO 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2512525235#deck_Gul_Dukat 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2512525235#deck_Lord_Beerus 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2612525241#deck_MatiasDelaParra 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2612525241#deck_MrCafouillette 
","Piotr Dura","U",2,"Sorcery","ONE",0.3,1.3,3
"Cankerbloom",8,4,14,19,73.7,48.8,90.9," 1 Devotion Walkers 
 1 Golgari Stompy 
 2 Gruul Stompy 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1112520689#deck_L1X0 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-0912520672#deck_jwf239 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-1112520682#deck_Mogged 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-1512523163#deck_dch97e 
","Nicholas Gregory","G",2,"Creature","ONE",0.1,0.9,2
"Elesh Norn, Mother of Machines",2,2,9,14,64.3,35.1,87.2," 1 Bring To Light 
 1 Gruul Stompy 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2512525235#deck_joaoclaudioms 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2512525235#deck_nj4u1 
","Martina Fackova","W",5,"Creature","ONE",0,0.4,1
"Encroaching Mycosynth",1,1,5,7,71.4,29,96.3," 1 WURG Midrange 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1912523133#deck_xfile 
","Martin de Diego Sádaba","U",4,"Artifact","ONE",0,0.2,1
"Jace, the Perfected Mind",5,3,18,25,72,50.6,87.9," 3 Esper Grease Fang 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-showcase-challenge-2023-02-1212520651#deck_Kaberb 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1912523133#deck_KarnageKardsENT 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2512525235#deck_KarnageKardsENT 
","Chase Stone","U",4,"Planeswalker","ONE",0.1,0.6,1.7
"Lukka, Bound to Ruin",6,6,34,45,75.6,60.5,87.1," 6 Gruul Stompy 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-showcase-challenge-2023-02-1212520651#deck_Oderus Urungus 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1812523127#deck_HappySandwich 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-super-qualifier-2023-02-1812523093#deck_rastaf 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2512525235#deck_Hamuda 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2612525241#deck_samwise88 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-0912520665#deck_Sanchez5272 
","Chase Stone","G,R",5,"Planeswalker","ONE",0.1,1.3,1
"Nissa, Ascended Animist",2,2,8,11,72.7,39,94," 2 Gruul Stompy 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1912523133#deck_Coly2 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-0912520672#deck_jwf239 
","Chase Stone","G",7,"Planeswalker","ONE",0,0.4,1
"Ossification",11,4,18,24,75,53.3,90.2," 4 Mono White Humans 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1112520689#deck_That0neKid 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1812523127#deck_Shadowz2005 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-2412525225#deck_PunishingWaterfalls 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-2412525225#deck_XanaZero 
","Nino Vecia","W",2,"Enchantment","ONE",0.2,0.9,2.8
"Sheoldred's Edict",7,6,27,40,67.5,50.9,81.4," 4 Dimir Control 
 2 Rakdos Midrange 
"," https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1112520689#deck_Is_907 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-1912523133#deck_musasabi 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2512525235#deck_maybenextime 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2612525241#deck_MatiasDelaParra 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-challenge-2023-02-2612525241#deck_MrCafouillette 
 https://www.mtgo.com/en/mtgo/decklist/pioneer-preliminary-2023-02-2112523150#deck_bobthedog 
","Helge C. Balzer","B",2,"Instant","ONE",0.1,1.3,1.2
