"","ARCHETYPES","NB_COPIES","NB_PLAYERS","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","MATCHES_PER_PLAYER","WINRATE_ARCH_OUT_PLAYERS"
"1","Delver",9,9,76,0.763157894736842,0.651760636334102,0.853184892384586,8.44444444444444,1.03805016011401
"2","Dredge",11,5,86,0.697674418604651,0.589169870892328,0.792100107665464,17.2,0.994422813848259
"3","Bant Control",18,18,142,0.725352112676056,0.64420157566435,0.796849176291591,7.88888888888889,1.01215036241382
"4","WURG Blink",3,2,25,0.68,0.464999282502628,0.85050457738643,12.5,1.03619047619048
"5","Bant Blink",2,2,16,0.6875,0.413379363548641,0.889830045282883,8,0.938388625592417
"6","Golgari Midrange",5,5,40,0.675,0.508705124521552,0.81427103323665,8,0.969630032746375
"7","Jund Midrange",38,36,291,0.687285223367698,0.63058916302066,0.740118712560025,8.08333333333333,0.997070547140844
"8","Burn",38,22,291,0.683848797250859,0.627031995228055,0.736874340845211,13.2272727272727,1.00283100160664
"9","Orzhov Taxes",3,3,22,0.681818181818182,0.45127557242623,0.861353478446202,7.33333333333333,1.03234539754916
"10","Mardu Shadow",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1.09090909090909
"11","Goblins",2,2,16,0.6875,0.413379363548641,0.889830045282883,8,1
"12","Humans",10,9,73,0.671232876712329,0.551340013562543,0.776743236929695,8.11111111111111,1.00454655956813
"13","UBRG Shadow",2,2,16,0.6875,0.413379363548641,0.889830045282883,8,0.956521739130435
"14","Gruul Midrange",26,22,201,0.696517412935323,0.627898024302842,0.759233353758683,9.13636363636364,1.01076705844008
"15","Domain Zoo",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"16","Niv To Light",9,7,69,0.710144927536232,0.588424880541794,0.81312805019439,9.85714285714286,1.0234441602728
"17","Electro Balance",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"18","Izzet Prowess",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"19","Gifts Storm",2,2,16,0.6875,0.413379363548641,0.889830045282883,8,1
"20","Mono Red Prowess",2,2,15,0.733333333333333,0.448996758963029,0.922128453708956,7.5,1.00162601626016
"21","Bogles",11,11,83,0.662650602409639,0.550500640844748,0.762813798052235,7.54545454545455,0.968394065117407
"22","Eldrazi Tron",14,11,105,0.657142857142857,0.558139559169013,0.747028222544345,9.54545454545454,0.983491570709949
"23","Jund Shadow",7,7,56,0.714285714285714,0.577901281040923,0.827048243965805,8,0.949759446710185
"24","Amulet Titan",16,14,125,0.696,0.607384390368451,0.775072760872514,8.92857142857143,1.01678435506032
"25","UBRG Control",3,3,28,0.821428571428571,0.631066650580796,0.939357091180792,9.33333333333333,0.995670995670996
