"","PLAYERS","NB_APPEARANCES","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","TOTAL_POINTS","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"1","2jjm",7,51,0.627450980392157,0.480802158241964,0.758737570359988,96,"Burn","7","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#jjm_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#jjm_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#jjm_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#jjm_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#jjm_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#jjm_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#jjm_th_place"
"2","TSPJendrek",6,46,0.673913043478261,0.519827959362465,0.804674563326106,93,"Dimir Control; Azorius Control; Esper Control","3; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#tspjendrek_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#tspjendrek_th_place"
"3","PRGJJAR",6,45,0.666666666666667,0.510496362141639,0.799994311989305,90,"Dredge","6","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#prgjjar_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#prgjjar_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#prgjjar_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#prgjjar_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#prgjjar_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#prgjjar_th_place"
"4","Laplasjan",5,41,0.731707317073171,0.570555294733918,0.857786996659129,90,"Devoted","5","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#laplasjan_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#laplasjan_th_place"
"5","Sodeq",4,36,0.777777777777778,0.608482350842619,0.898849469655087,84,"Dredge; Amulet Titan; Ad Nauseam","2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#sodeq_nd_place"
"6","coert",5,39,0.717948717948718,0.551263676605079,0.849985869529479,84,"Burn; Eldrazi Tron","4; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#coert_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#coert_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-17#coert_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#coert_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#coert_th_place"
"7","SebastianStueckl",5,38,0.710526315789474,0.540967933075708,0.84575371321209,81,"Jund Midrange; WURG Control; Gruul Midrange; Green Tron; Boros Prowess","1; 1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#sebastianstueckl_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#sebastianstueckl_th_place"
"8","_LSN_",5,38,0.710526315789474,0.540967933075708,0.84575371321209,81,"Burn","5","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#_lsn__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#_lsn__nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#_lsn__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#_lsn__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#_lsn__th_place"
"9","SunofNothing",4,36,0.722222222222222,0.548138854932161,0.857997552736598,78,"Uroza; Rakdos Prowess; Jund Shadow","2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#sunofnothing_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#sunofnothing_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#sunofnothing_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#sunofnothing_nd_place"
"10","patheus_84",4,31,0.741935483870968,0.553866065665103,0.881436004170449,69,"Ad Nauseam","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-04#patheus__st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#patheus__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#patheus__th_place"
"11","bobthedog",4,32,0.6875,0.49992241836783,0.838815275911799,66,"WURG Blink; Scapeshift; Bant Blink","2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#bobthedog_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#bobthedog_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#bobthedog_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#bobthedog_nd_place"
"12","Traft",4,30,0.733333333333333,0.541106348605249,0.877205190127645,66,"Jund Midrange; Scapeshift; Ad Nauseam","1; 1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#traft_th_place"
"13","AndyAWKWARD",4,32,0.6875,0.49992241836783,0.838815275911799,66,"Scapeshift","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#andyawkward_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#andyawkward_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-31#andyawkward_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#andyawkward_th_place"
"14","musasabi",4,31,0.67741935483871,0.48627017040725,0.833176362577041,63,"Hardened Scales; Heliod Combo; Jund Midrange","2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#musasabi_th_place"
"15","ArchaeusDota",4,29,0.655172413793103,0.456694272332057,0.820616350764888,57,"Eldrazi Tron; Green Tron","2; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#archaeusdota_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#archaeusdota_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#archaeusdota_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#archaeusdota_rd_place"
