"","ARCHETYPES","WINRATE_95_MIN"
"1","WURG Control",66.9
"2","KGC Tron",65.2
"3","Shadow Prowess",65.1
"4","Obosh Aggro",64.7
"5","Hammer Time",63.8
"6","Sultai Control",63.3
"7","Reclaimer Titan",62.7
"8","Ad Nauseam",61.9
"9","Gifts Storm",61.8
"10","Scapeshift",61.7
"11","Izzet Prowess",61.5
"12","Heliod Combo",61.3
"13","Burn",61
"14","Belcher",60
"15","Temur Control",59.7
"16","Mono White Taxes",59.3
"17","Mill",59.3
"18","Gruul Midrange",59
"19","Rakdos Midrange",58.5
"20","KGC Amulet Titan",58
"21","Amulet Titan",58
"22","Oops All Spells",57.7
"23","Dredge",57.2
"24","Primeval Titan",57.1
"25","Snoop Goblins",56.7
"26","Izzet Control",56.2
"27","Spirits",55.6
"28","Dimir Control",52.8
"29","E Tron",52
"30","Infect",52
"31","Izzet Living End",51.9
"32","Jund Midrange",51.9
"33","Azorius Control",50.1
"34","U Tron",49.8
"35","Jeskai Control",49.2
"36","Bant Control",48.9
"37","Devoted",47.6
"38","UBRG Control",47.5
"39","Bant Blink",46
"40","Rogues",43
"41","Hardened Scales",43
"42","Humans",42.8
"43","Naya Midrange",41.3
"44","Bant Midrange",40.6
"45","Niv To Light",40
"46","Simic Control",40
"47","Jund Shadow",40
"48","Izzet Restore Balance",38.6
"49","Bant Spirits",38.6
"50","Grixis Shadow",38.6
"51","Uroza",38.4
"52","Thopter Urza",35.4
"53","Omnath Saheeli",35.1
"54","Grinding Breach",34.9
"55","Golos Tron",34.9
"56","Mardu Midrange",34.9
"57","Yawgmoth",34.9
"58","Kiki Chord",32.3
"59","Orzhov Midrange",29.9
"60","Enduring Ideal",29
"61","Boros Prowess",28.4
"62","Jeskai Ascendancy",28.4
"63","Azorius Taxes",27.7
"64","Boros Taxes",24.5
"65","Boros Land Destruction",24.5
"66","Erayo Prison",24.5
"67","Grishoalbrand",24.5
"68","Merfolk",18.4
"69","Taking Turns",18.4
"70","Polymorph",14.7
"71","Jeskai Breach",14.7
"72","Delver",14.7
"73","Elementals",14.7
"74","Dice Factory Tron",14.7
"75","Red Prison",14.7
