"","ARCHETYPES","PRESENCE"
"1","Shadow Prowess",386
"2","WURG Control",378
"3","Heliod Combo",311
"4","Hammer Time",252
"5","Reclaimer Titan",230
"6","Obosh Aggro",222
"7","Rakdos Midrange",179
"8","Sultai Control",162
"9","Izzet Prowess",148
"10","KGC Tron",142
"11","Ad Nauseam",135
"12","Dredge",119
"13","Oops All Spells",118
"14","Mono White Taxes",101
"15","Mill",98
"16","Belcher",97
"17","Burn",97
"18","Amulet Titan",92
"19","Gifts Storm",90
"20","Temur Control",85
"21","Izzet Control",67
"22","Gruul Midrange",52
"23","E Tron",46
"24","UBRG Control",46
"25","Infect",46
"26","Azorius Control",44
"27","KGC Amulet Titan",42
"28","Primeval Titan",41
"29","Izzet Living End",41
"30","Jund Midrange",41
"31","Snoop Goblins",35
"32","Spirits",34
"33","Jeskai Control",29
"34","Bant Blink",27
"35","U Tron",27
"36","Bant Control",24
"37","Bant Midrange",24
"38","Rogues",21
"39","Hardened Scales",21
"40","Dimir Control",21
"41","Devoted",16
"42","Naya Midrange",16
"43","Scapeshift",16
"44","Thopter Urza",16
"45","Kiki Chord",15
"46","Uroza",15
"47","Omnath Saheeli",14
"48","Izzet Restore Balance",13
"49","Bant Spirits",13
"50","Grixis Shadow",13
"51","Mardu Midrange",12
"52","Yawgmoth",12
"53","Azorius Taxes",12
"54","Humans",12
"55","Niv To Light",9
"56","Orzhov Midrange",9
"57","Simic Control",9
"58","Jund Shadow",9
"59","Boros Taxes",8
"60","Boros Land Destruction",8
"61","Erayo Prison",8
"62","Grinding Breach",8
"63","Golos Tron",8
"64","Grishoalbrand",8
"65","Merfolk",7
"66","Enduring Ideal",7
"67","Taking Turns",7
"68","Polymorph",5
"69","Jeskai Breach",5
"70","Delver",5
"71","Elementals",5
"72","Boros Prowess",5
"73","Jeskai Ascendancy",5
"74","Dice Factory Tron",5
"75","Red Prison",5
