"","CardNames","Presence","WINRATE_95_MIN"
"1","Teferi, Mage of Zhalfir",0.2,71.5
"2","Mystical Dispute",26,68.1
"3","Snow-Covered Island",22.6,68
"4","Soul-Guide Lantern",22.1,68
"5","Lightning Bolt",43.7,68
"6","Field of the Dead",24.5,67.9
"7","Forest",42,67.9
"8","Jace, the Mind Sculptor",11.6,67.7
"9","Growth Spiral",14.1,67.7
"10","Scalding Tarn",22.4,67.7
"11","Uro, Titan of Nature's Wrath",21.2,67.7
"12","Island",35.1,67.7
"13","Flame Slash",10,67.6
"14","Ketria Triome",13.5,67.6
"15","Cryptic Command",22.4,67.6
"16","Misty Rainforest",28.8,67.6
"17","Snow-Covered Forest",27.3,67.6
"18","Veil of Summer",34.1,67.6
"19","Steam Vents",19.8,67.5
"20","Force of Negation",21.8,67.5
"21","Mystic Sanctuary",21.1,67.5
"22","Breeding Pool",22.9,67.5
"23","Aether Gust",28.8,67.5
"24","Mana Leak",17.3,67.4
"25","Flooded Strand",20.8,67.4
"26","Firespout",6.1,67.3
"27","Supreme Verdict",8,67.3
"28","Sunbaked Canyon",14.6,67.3
"29","Blast Zone",18.9,67.3
"30","Field of Ruin",21,67.3
"31","Mistcutter Hydra",0.7,67.2
"32","Entrancing Melody",0.7,67.2
"33","Monastery Swiftspear",19,67.2
"34","Engineered Explosives",25.1,67.2
"35","Path to Exile",36.3,67.2
"36","Mountain",37.5,67.2
"37","Wrenn and Six",16,67.1
"38","Grafdigger's Cage",6.8,67
"39","Bomat Courier",11.6,67
"40","Dismember",20.5,67
"41","Plains",38.7,67
"42","Stomping Ground",18.5,66.9
"43","Polluted Delta",20.7,66.9
"44","Torpor Orb",3.5,66.8
"45","Fiery Islet",13.3,66.8
"46","Teferi, Hero of Dominaria",10.3,66.7
"47","Cleansing Wildfire",14.6,66.7
"48","Remand",13.8,66.6
"49","Lurrus of the Dream-Den",18,66.6
"50","Celestial Purge",18.9,66.6
