"","ArtistName","Winrate","Presence"
"1","Mads Ahm",81.1,0.4
"2","Karla Ortiz",80,0.1
"3","Jason A. Engle",78.9,0.2
"4","Richard Sardinha",78.9,0.2
"5","Kaja Foglio",77.1,0.3
"6","Mila Pesic",76.9,0.2
"7","Scott Bailey",76.5,0.2
"8","John Donahue",76.3,0.6
"9","E. M. Gist",75,0.2
"10","Simon Dominic",73.9,0.2
"11","Bayard Wu",73.4,1.2
"12","Jack Wang",73.4,1.9
"13","Marc Simonetti",73.3,0.1
"14","Deruchenko Alexander",72.7,0.8
"15","Ryan Alexander Lee",72.7,0.3
"16","Mark Winters",72.6,0.7
"17","Mike Dringenberg",72.5,0.4
"18","Evyn Fong",72.5,0.4
"19","Cristi Balanescu",72.2,0.2
"20","Scott M. Fischer",71.9,3.2
"21","Maekawa Yuichi",71.8,2.8
"22","Alex Horley-Orlandelli",71.6,3
"23","Dany Orizio",71.6,0.9
"24","Toshiaki Takayama",71.4,0.1
"25","Shreya Shetty",71.4,0.1
"26","Dan Frazier",71.4,1.4
"27","Jakub Kasper",71.1,1.7
"28","Chuck Lukacs",71,8.3
"29","Jeff Miracola",70.9,10.8
"30","Chris J. Anderson",70.9,1.7
"31","Yongjae Choi",70.8,1.6
"32","Naochika Morishita",70.8,6.1
"33","Craig J Spearing",70.8,9.4
"34","Lucas Staniec",70.7,1.3
"35","Grzegorz Rutkowski",70.6,7.6
"36","Brian Snõddy",70.6,15.6
"37","Jonathan Kuo",70.6,0.2
"38","Dana Knutson",70.5,1
"39","Jim Nelson",70.5,27.7
"40","Matt Cavotta",70.4,3.4
"41","Scott Murphy",70.4,8.2
"42","Khang Le",70.3,4.2
"43","Marcelo Vignali",70.3,3.6
"44","Luca Zontini",70.3,5.2
"45","Joseph Meehan",70.2,10
"46","Shishizaru",70.2,17.7
"47","Michael Komarck",70.2,7.3
"48","Vincent Proce",70.2,41.4
"49","Warren Mahy",70.2,6.3
"50","Sam Burley",70.2,38.5
"51","Cliff Childs",70.1,31.7
"52","Bastien L. Deharme",70.1,1.8
"53","Mark Brill",70.1,0.7
"54","Glen Angus",70.1,1.3
"55","Ron Spencer",70.1,5.1
"56","Aaron Miller",70.1,4.3
"57","Wesley Burt",70.1,3.1
"58","Chris Rahn",70,39.2
"59","Chris Ostrowski",70,14.9
"60","Rebecca Guay",70,6.8
"61","Chris Seaman",70,0.2
"62","Denis Nigmatullin",70,0.1
"63","Alexander Forssberg",70,0.1
"64","Lake Hurwitz",70,40.7
"65","Jehan Choo",70,4.7
"66","Chris Rallis",70,11.3
"67","Lars Grant-West",69.9,26
"68","Randy Gallegos",69.9,7.5
"69","Daniel Ljunggren",69.9,24
"70","Zoltan Boros & Gabor Szikszai",69.9,13.1
"71","Titus Lunter",69.9,9.5
"72","Anthony Palumbo",69.9,2
"73","James Paick",69.9,23.2
"74","Kev Walker",69.9,47.5
"75","Steve Ellis",69.8,3.3
"76","Chippy",69.8,23.3
"77","Shelly Wan",69.8,4.5
"78","Eytan Zana",69.8,3.8
"79","Jasper Sandner",69.8,2
"80","David Palumbo",69.8,20.2
"81","Anthony S. Waters",69.8,46.2
"82","Randy Vargas",69.8,39.3
"83","Jason Rainville",69.8,40.4
"84","Jason Chan",69.8,27
"85","Raymond Swanland",69.7,32.7
"86","Chase Stone",69.7,35.1
"87","Raoul Vitale",69.7,11.8
"88","Jeremy Enecio",69.7,5.1
"89","Igor Kieryluk",69.7,5.8
"90","Anthony Francisco",69.7,3.9
"91","Dimitar Marinski",69.6,27.5
"92","Adam Paquette",69.6,57.4
"93","Min Yum",69.6,55.8
"94","Rob Alexander",69.6,124.8
"95","Mark Romanoski",69.6,18.4
"96","Aleksi Briclot",69.5,36.1
"97","Jason Felix",69.5,35.3
"98","John Zeleznik",69.5,6.9
"99","Seb McKinnon",69.5,44.2
"100","Bryan Sola",69.5,2.4
"101","Filip Burburan",69.5,8.9
"102","G-host Lee",69.5,2.5
"103","Todd Lockwood",69.5,47.9
"104","David Gaillet",69.5,3.9
"105","Howard Lyon",69.5,24.3
"106","Adam Rex",69.5,5.3
"107","Tomasz Jedruszek",69.4,37.3
"108","Darrell Riche",69.4,15.8
"109","Anastasia Ovchinnikova",69.4,1.7
"110","Yeong-Hao Han",69.4,20.6
"111","Jonas De Ro",69.4,45.4
"112","Caio Monteiro",69.4,12.7
"113","Willian Murai",69.4,7.8
"114","Fred Hooper",69.4,2.5
"115","Amy Weber",69.4,0.9
"116","rk post",69.3,8.6
"117","Clint Cearley",69.3,5.7
"118","Paul Scott Canavan",69.3,23.6
"119","Christopher Rush",69.3,57
"120","Greg Hildebrandt",69.3,15.2
"121","Tim Hildebrandt",69.3,3.7
"122","Mathias Kollros",69.3,25.9
