"CardName","CardCount"
"Flooded Strand",4
"Misty Rainforest",4
"Scalding Tarn",3
"Mystic Sanctuary",2
"Field of the Dead",2
"Field of Ruin",2
"Breeding Pool",1
"Steam Vents",1
"Hallowed Fountain",1
"Island",1
"Ketria Triome",1
"Raugrin Triome",1
"Snow-Covered Island",1
"Temple Garden",1
"Snow-Covered Forest",1
"Forest",1
"Stomping Ground",1
"Snow-Covered Plains",1
"Uro, Titan of Nature's Wrath",4
"Omnath, Locus of Creation",2
"Wrenn and Six",3
"Teferi, Time Raveler",2
"Teferi, Hero of Dominaria",1
"Jace, the Mind Sculptor",1
"Path to Exile",4
"Cryptic Command",3
"Mana Leak",3
"Growth Spiral",3
"Force of Negation",2
"Lightning Bolt",1
"Hour of Promise",1
"Total",59
