"","CardNames","Presence","WINRATE_AVERAGE"
"1","Lightning Bolt",43.7,69.2
"2","Forest",40.8,69.5
"3","Mountain",38.4,69
"4","Plains",37.2,67.5
"5","Path to Exile",35.5,67.9
"6","Island",33.5,69
"7","Veil of Summer",32,69.4
"8","Aether Gust",27.3,69.5
"9","Blood Moon",26.3,68.8
"10","Swamp",26,67.8
"11","Misty Rainforest",25.9,69.3
"12","Mystical Dispute",24.7,70.3
"13","Thoughtseize",24.7,67.7
"14","Fatal Push",24.6,68.1
"15","Engineered Explosives",24,70.2
"16","Snow-Covered Forest",23.7,69.1
"17","Temple Garden",23.4,67.6
"18","Field of the Dead",22.9,69.9
"19","Relic of Progenitus",21.7,68.7
"20","Polluted Delta",21.3,69.8
"21","Windswept Heath",21.2,67.2
"22","Soul-Guide Lantern",21.1,69.7
"23","Blast Zone",21,70.4
"24","Cryptic Command",21,70.1
"25","Wooded Foothills",20.9,67.8
"26","Scalding Tarn",20.9,70.5
"27","Bloodstained Mire",20.6,67.7
"28","Force of Negation",20.5,69.3
"29","Field of Ruin",19.7,68.7
"30","Mystic Sanctuary",19.6,69.8
"31","Skyclave Apparition",19.5,67.1
"32","Dismember",19.5,69.7
"33","Breeding Pool",19.4,69.3
"34","Snow-Covered Island",19.4,69.7
"35","Pithing Needle",19.2,66.6
"36","Flooded Strand",18.9,68.3
"37","Boil",18.9,68.3
"38","Blood Crypt",18.5,67.3
"39","Snow-Covered Plains",18.4,66.6
"40","Celestial Purge",18.4,68.2
"41","Monastery Swiftspear",17.8,69.7
"42","Uro, Titan of Nature's Wrath",17.7,69.6
"43","Steam Vents",17.7,69.4
"44","Stomping Ground",17.6,69
"45","Lurrus of the Dream-Den",17.1,68.2
"46","Mana Leak",16.2,69.8
"47","Cavern of Souls",15.2,69.4
"48","Walking Ballista",15,69.8
"49","Abrade",15,67.6
"50","Remand",14.7,71.1
