"","CardNames","DeckCount","WinrateAverage"
"1","Fabled Passage",1566,63.3
"2","Forest",1274,63.5
"3","Mountain",1193,63.3
"4","Island",1183,63.5
"5","Bonecrusher Giant",1178,63.1
"6","Swamp",904,63
"7","Shatterskull Smashing",837,63.2
"8","Heartless Act",807,63
"9","Cragcrown Pathway",802,63.5
"10","Clearwater Pathway",788,63.1
"11","Lovestruck Beast",770,63.7
"12","Riverglide Pathway",763,63.2
"13","Barkchannel Pathway",684,63.7
"14","Edgewall Innkeeper",644,63.8
"15","Zagoth Triome",641,63
"16","Alrund's Epiphany",632,62.5
"17","Faceless Haven",622,63.5
"18","Mystical Dispute",565,63.2
"19","Esika's Chariot",554,63.4
"20","Ketria Triome",533,63.8
"21","Jwari Disruption",521,62.9
"22","Goldspan Dragon",515,63.2
"23","Embercleave",513,62.7
"24","The Akroan War",508,62.7
"25","Disdainful Stroke",507,62.6
"26","Needleverge Pathway",494,63.7
"27","Plains",475,63.7
"28","Kazandu Mammoth",472,63.7
"29","Extinction Event",472,62.9
"30","Darkbore Pathway",445,62.8
"31","Omen of the Sea",442,63.4
"32","Valki, God of Lies",436,62.3
"33","Negate",418,64.2
"34","Shadows' Verdict",404,63
"35","Binding the Old Gods",381,63.5
"36","Jaspera Sentinel",379,62.4
"37","Eliminate",365,63.6
"38","The Great Henge",360,63.8
"39","Wolfwillow Haven",354,63.4
"40","Elder Gargaroth",350,63.1
"41","Snow-Covered Mountain",340,62.5
"42","Cultivate",338,62.8
"43","Kiora Bests the Sea God",329,62.7
"44","Temple of Malady",322,63
"45","Sea Gate Restoration",318,62.9
"46","Saw It Coming",318,62
"47","Frost Bite",318,62.1
"48","Blightstep Pathway",313,62.6
"49","Temple of Deceit",312,63.2
"50","Lair of the Hydra",312,61.8
