"","SetCode","NoCopies","Winrate"
"1","ELD",41535,0.635
"2","ZNR",33789,0.633
"3","KHM",28911,0.632
"4","IKO",24548,0.636
"5","THB",18412,0.633
"6","LEA",17575,0.634
"7","ICE",11237,0.63
"8","M21",9283,0.632
"9","AFR",8744,0.621
"10","STX",7207,0.624
"11","MID",6784,0.642
"12","KTK",2208,0.626
"13","MOR",2160,0.637
"14","USG",1839,0.626
"15","THS",1358,0.635
"16","M11",1299,0.628
"17","JOU",1169,0.626
"18","CMD",720,0.629
"19","BNG",586,0.633
"20","XLN",495,0.625
"21","ZEN",411,0.613
"22","M10",382,0.622
"23","FRF",228,0.64
"24","ISD",184,0.634
"25","RIX",177,0.663
"26","MRD",105,0.63
"27","PTK",65,0.571
"28","INV",64,0.602
"29","STH",61,0.637
"30","MH1",57,0.591
"31","HOU",40,0.576
"32","EMN",39,0.663
"33","MIR",22,0.611
"34","M15",22,0.614
"35","M19",16,0.56
"36","ROE",14,0.578
"37","MBS",13,0.654
"38","RAV",12,0.579
"39","DOM",7,0.688
"40","SOM",2,0.5
