"CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"Adeline, Resplendent Cathar",158,51,253,374,67.6,62.6,72.4," 51 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#o_danielakos_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-27#lennny_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-03#lennny_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-03#alozan_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#mahzinha_linda_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#rastaf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#hcook_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#ziyanghuakai_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#hamuda_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#lennny_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#nammersquats_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#edel_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#phill_hellmuth_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#melody__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-10#jositoshekel_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-10#hamuda_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-10#musasabi_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-10#rastaf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-10#darthkid_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-10#lennny_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-10#mahzinha_linda_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-11#tunaktunak_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-11#connorm_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-11#mahzinha_linda_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2021-10-11#modisapiras_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2021-10-11#albertosd_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2021-10-11#brokenpots_cb_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2021-10-11#hamuda_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2021-10-11#patxi_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2021-10-11#afx_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2021-10-11#sknerusmckwacz_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-super-qualifier-2021-10-11#_ilnano__st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-17#kedrip_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-17#canepis_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-17#hamuda_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-18#canepis_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-18#rastaf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-18#karnagekardsent_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-18#tunicoberno_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-18#supercow_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-18#js_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-24#hamuda_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-24#kedrip_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-24#duofanel_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-24#vertyx__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-25#matheusponciano_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-25#rastaf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-25#wizard__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-25#hamuda_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-preliminary-2021-10-08#fingers_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-preliminary-2021-10-08#wizard__- 
","Bryan Sola","W",3,"Creature","MID",0.1,1.8,3.1
"Ambitious Farmhand",2,1,4,7,57.1,18.4,90.1," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#o_danielakos_nd_place 
","Bryan Sola","W",2,"Creature","MID",0,0,2
"Arcane Infusion",6,3,17,24,70.8,48.9,87.4," 3 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-26#sidrocha_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#onewaygarden_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-04#omegauo_th_place 
","Jason Felix","R,U",2,"Instant","MID",0,0.1,2
"Arlinn, the Pack's Hope",56,21,87,140,62.1,53.6,70.2," 2 Gruul Bard  class 
 19 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#oxywithmoxy_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#_falcon__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#khemii_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#maxmagicer_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#lucasgggs_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#capriccioso_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#yashimoro_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#johnhouk_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#_batutinha__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#infernalspawnofevil_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#alphafrog_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#windy_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#lukasdusek_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#alphafrog_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#sandydogmtg_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#moon_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#makusong_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-26#_marian__st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-27#maxmagicer_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-03#ayukawa_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-03#godofslaughter_st_place 
","Anna Steinbauer","G,R",4,"Planeswalker","MID",0,0.7,2.7
"Augur of Autumn",4,2,5,12,41.7,15.2,72.3," 2 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#yashimoro_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-24#kristofff_nd_place 
","Billy Christian","G",3,"Creature","MID",0,0.1,2
"Bladestitched Skaab",8,2,9,14,64.3,35.1,87.2," 2 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#wordy_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#oderus_urungus_st_place 
","Dave Kendall","B,U",2,"Creature","MID",0,0.1,4
"Blood Pact",2,1,5,7,71.4,29,96.3," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-25#charliethebananaking_th_place 
","Sam White","B",3,"Instant","MID",0,0,2
"Bloodline Culling",1,1,5,7,71.4,29,96.3," 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-10-25#_batutinha__th_place 
","Liiga Smilshkalne","B",3,"Instant","MID",0,0,1
"Bloodthirsty Adversary",22,6,25,40,62.5,45.8,77.3," 6 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#luck_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-19#infernalspawnofevil_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-20#sapoa_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-26#khemii_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-26#trukanshii_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-26#wrzobuseks_nd_place 
","Heonhwa Choe","R",2,"Creature","MID",0,0.2,3.7
"Borrowed Time",4,2,7,13,53.8,25.1,80.8," 2 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-26#george_clooners_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/standard-challenge-2021-09-27#karnagekardsent_rd_place 
","Andreas Zafiratos","W",3,"Enchantment","MID",0,0.1,2
