"","CardNames","DeckCount","WinrateAverage"
"1","Vantress Gargoyle",2,87.5
"2","Easy Prey",1,87.5
"3","Nadaar, Selfless Paladin",1,85.7
"4","Scourge of the Skyclaves",1,85.7
"5","Triumphant Adventurer",1,85.7
"6","Ascendant Spirit",1,77.8
"7","Frost Augur",1,77.8
"8","Icebreaker Kraken",1,77.8
"9","Lofty Denial",3,77.3
"10","Narset of the Ancient Way",2,75
"11","Elderfang Disciple",2,75
"12","Inspired Ultimatum",1,75
"13","Squad Commander",1,75
"14","Tajuru Paragon",1,75
"15","Tazri, Beacon of Unity",1,75
"16","Coveted Prize",1,75
"17","Harald, King of Skemfar",1,75
"18","Alrund, God of the Cosmos",1,75
"19","Barge In",1,75
"20","Lash of Malice",1,75
"21","Magic Missile",1,75
"22","Venerable Warsinger",3,73.9
"23","Voracious Greatshark",4,73.5
"24","Battle Cry Goblin",2,73.3
"25","Rimewood Falls",2,73.3
"26","Archpriest of Iona",2,71.4
"27","Oswald Fiddlebender",2,71.4
"28","Acererak the Archlich",2,71.4
"29","Unnatural Moonrise",2,71.4
"30","Florian, Voldaren Scion",2,71.4
"31","Calamity Bearer",1,71.4
"32","Crystalline Giant",1,71.4
"33","Quakebringer",1,71.4
"34","Tectonic Giant",1,71.4
"35","Glimpse the Cosmos",1,71.4
"36","Tundra Fumarole",1,71.4
"37","Squash",1,71.4
"38","Invasion of the Giants",1,71.4
"39","Tergrid, God of Fright",1,71.4
"40","Leather Armor",1,71.4
"41","Gyruda, Doom of Depths",1,71.4
"42","Thassa, Deep-Dwelling",1,71.4
"43","Witherbloom Campus",1,71.4
"44","Bloodline Culling",1,71.4
"45","Blood Pact",1,71.4
"46","Gnarled Professor",4,71
"47","Arcane Infusion",3,70.8
"48","Rune of Flight",2,70.6
"49","Deathbonnet Sprout",2,70.6
"50","Eaten Alive",2,70.6
