"","CardNames","DeckCount","WinrateAverage"
"1","Fynn, the Fangbearer",1,100
"2","Alrund's Epiphany",2,87.5
"3","Selfless Savior",1,87.5
"4","Thieving Skydiver",3,80.8
"5","Sejiri Shelter",3,79.2
"6","Loyal Warhound",3,78.6
"7","Hagra Mauling",4,78.1
"8","Volcanic Salvo",1,77.8
"9","Bubble Snare",1,77.8
"10","Threnody Singer",1,77.8
"11","Clarion Spirit",1,77.8
"12","Valakut Awakening",1,77.8
"13","Of One Mind",1,77.8
"14","Confounding Conundrum",4,76.5
"15","Squad Commander",1,75
"16","Kitesail Freebooter",1,75
"17","Chandra, Heart of Fire",1,75
"18","Linden, the Steadfast Queen",1,75
"19","Dancing Sword",1,75
"20","Liesa, Forgotten Archangel",1,75
"21","Graven Lore",2,73.3
"22","Concerted Defense",4,72.7
"23","Ray of Frost",4,72.7
"24","Curse of Silence",15,71.8
"25","Blitz of the Thunder-Raptor",3,71.4
"26","Sunstreak Phoenix",3,71.4
"27","Gadwick, the Wizened",1,71.4
"28","Basalt Ravager",1,71.4
"29","Egon, God of Death",1,71.4
"30","Nylea, Keen-Eyed",1,71.4
"31","Seasoned Hallowblade",1,71.4
"32","Swift Response",1,71.4
"33","Roil Eruption",1,71.4
"34","Specter's Shriek",1,71.4
"35","Gyruda, Doom of Depths",1,71.4
"36","Atris, Oracle of Half-Truths",1,71.4
"37","Elderfang Disciple",1,71.4
"38","Light Up the Night",1,71.4
"39","Crawl from the Cellar",1,71.4
"40","Eaten Alive",1,71.4
"41","Cave of the Frost Dragon",1,71.4
"42","Robber of the Rich",30,70.8
"43","Torbran, Thane of Red Fell",2,70.6
"44","Shackles of Treachery",2,70.6
"45","Illuminate History",5,70.4
"46","Clear Shot",4,70.4
"47","Omen of the Sun",4,70
"48","Dance of the Manse",3,70
"49","Traitorous Greed",2,70
"50","Spikefield Hazard",9,69.8
