"","CardNames","DeckCount","WinrateAverage"
"1","Redcap Melee",1033,63.1
"2","Mystical Dispute",1026,63.6
"3","Ox of Agonas",930,63.4
"4","Negate",773,63.5
"5","The Akroan War",708,62.2
"6","Disdainful Stroke",690,62.5
"7","Duress",578,62.6
"8","Test of Talents",546,62.2
"9","Klothys, God of Destiny",506,63.3
"10","Phoenix of Ash",470,63.7
"11","Yorion, Sky Nomad",457,63.3
"12","Soul Sear",423,64.4
"13","Burning Hands",420,61.7
"14","Cling to Dust",371,64
"15","Wilt",353,64.4
"16","Roiling Vortex",339,63.5
"17","Scorching Dragonfire",324,63.2
"18","Skyclave Shade",316,62.4
"19","Lurrus of the Dream-Den",306,63.7
"20","Fire Prophecy",304,62.9
"21","Glass Casket",301,65
"22","Elder Gargaroth",277,63.9
"23","Koma, Cosmos Serpent",265,62.3
"24","Kaervek, the Spiteful",260,62
"25","Elspeth's Nightmare",258,62.1
"26","Shredded Sails",248,64.4
"27","Eliminate",242,62.5
"28","Reidane, God of the Worthy",235,64
"29","Soul-Guide Lantern",222,63.3
"30","Vivien, Monsters' Advocate",221,64.3
"31","Drannith Magistrate",216,63.5
"32","Mazemind Tome",206,62
"33","Shadowspear",194,63.7
"34","Cinderclasm",190,60.5
"35","Scavenging Ooze",186,63.8
"36","Chainweb Aracnir",173,63.5
"37","Crippling Fear",168,64
"38","Shark Typhoon",163,62.7
"39","Snakeskin Veil",159,63.6
"40","Environmental Sciences",154,63
"41","Malevolent Hermit",152,62.7
"42","Jegantha, the Wellspring",147,63.5
"43","Mascot Exhibition",147,63.3
"44","Shadows' Verdict",140,62.7
"45","Extinction Event",128,62.4
"46","Bloodchief's Thirst",122,62.3
"47","Garruk, Unleashed",118,63.5
"48","Prismari Command",118,64.6
"49","Questing Beast",112,63.9
"50","Toski, Bearer of Secrets",111,63.8
