"","CardNames","DeckCount","Winrate95Min"
"1","Island",64,75.5
"2","Swamp",43,75.4
"3","Fabled Passage",69,75.3
"4","Clearwater Pathway",39,74.4
"5","Zagoth Triome",34,74.1
"6","Heartless Act",36,73.9
"7","Forest",50,73.2
"8","Eliminate",27,72.9
"9","Disdainful Stroke",27,72.9
"10","Mystical Dispute",39,72.3
"11","Mountain",41,72.3
"12","Mazemind Tome",12,72.2
"13","Bonecrusher Giant",46,72.2
"14","Jwari Disruption",23,72.1
"15","Shatterskull Smashing",30,71.7
"16","Barkchannel Pathway",33,71.7
"17","Riverglide Pathway",34,71.6
"18","Merfolk Windrobber",15,71.5
"19","Ruin Crab",15,71.5
"20","Soaring Thought-Thief",15,71.5
"21","Thieves' Guild Enforcer",15,71.5
"22","Agadeem's Awakening",15,71.5
"23","Of One Mind",15,71.5
"24","Drown in the Loch",15,71.5
"25","Into the Story",15,71.5
"26","Castle Locthwain",18,71.1
"27","Temple of Deceit",20,71
"28","Alrund's Epiphany",27,70.8
"29","Lovestruck Beast",31,70.8
"30","Bloodchief's Thirst",10,70.2
"31","Hengegate Pathway",12,69.8
"32","Ketria Triome",28,69.8
"33","Faceless Haven",28,69.8
"34","Didn't Say Please",14,69.6
"35","Plains",14,69.6
"36","Binding the Old Gods",15,69.6
"37","Extinction Event",20,69.6
"38","Negate",21,69.6
"39","Omen of the Sea",17,69.5
"40","Cragcrown Pathway",26,68.7
"41","Edgewall Innkeeper",25,68.6
"42","Kazandu Mammoth",20,68.2
"43","Embercleave",20,68.2
"44","Brazen Borrower",20,68.2
"45","Snow-Covered Mountain",19,68.1
"46","Frost Bite",19,68.1
"47","The Great Henge",18,68
"48","Shadows' Verdict",18,68
"49","Goldspan Dragon",18,68
"50","The Akroan War",17,67.9
