"","CardNames","DeckCount","WinrateAverage"
"1","Esika's Chariot",2,100
"2","Massacre Wurm",1,100
"3","Vorinclex, Monstrous Raider",1,100
"4","Fynn, the Fangbearer",1,100
"5","Blood on the Snow",1,100
"6","Inscription of Ruin",1,100
"7","Flunk",1,100
"8","Bloodchief's Thirst",3,91.7
"9","Essence Scatter",3,91.7
"10","Teachings of the Archaics",3,91.7
"11","Heartless Act",5,90
"12","Saw It Coming",5,90
"13","Environmental Sciences",6,87.5
"14","Necromentia",4,87.5
"15","Soul Shatter",4,87.5
"16","Primal Might",2,87.5
"17","Tormod's Crypt",2,87.5
"18","Witch's Oven",2,87.5
"19","Embercleave",2,87.5
"20","Rankle, Master of Pranks",2,87.5
"21","Loyal Warhound",2,87.5
"22","Alrund's Epiphany",2,87.5
"23","Concerted Defense",2,87.5
"24","Ray of Frost",2,87.5
"25","Kaervek, the Spiteful",5,85
"26","Polukranos, Unchained",8,84.4
"27","Go Blank",8,84.4
"28","Malevolent Hermit",8,84.4
"29","Cling to Dust",17,83.8
"30","Skyclave Shade",17,83.8
"31","Crippling Fear",15,83.3
"32","Soul-Guide Lantern",12,83.3
"33","Shark Typhoon",9,83.3
"34","Elspeth's Nightmare",9,83.3
"35","Questing Beast",6,83.3
"36","Lovestruck Beast",3,83.3
"37","Necrotic Fumes",3,83.3
"38","Pest Summoning",3,83.3
"39","Start from Scratch",3,83.3
"40","Rielle, the Everwise",3,83.3
"41","Lurrus of the Dream-Den",16,82.8
"42","Chainweb Aracnir",7,82.1
"43","Prismari Command",7,82.1
"44","Mascot Exhibition",7,82.1
"45","Vivien, Monsters' Advocate",11,81.8
"46","Disdainful Stroke",41,81.7
"47","Wilt",16,81.2
"48","Lullmage's Domination",8,81.2
"49","Garruk, Unleashed",4,81.2
"50","Kogla, the Titan Ape",4,81.2
