"","CardNames","DeckCount","WinrateAverage"
"1","Mystical Dispute",54,80.6
"2","Redcap Melee",44,79.5
"3","Ox of Agonas",42,79.2
"4","Disdainful Stroke",41,81.7
"5","The Akroan War",33,79.5
"6","Negate",33,81.1
"7","Soul Sear",30,79.2
"8","Phoenix of Ash",23,79.3
"9","Scorching Dragonfire",19,80.3
"10","Duress",18,80.6
"11","Cling to Dust",17,83.8
"12","Skyclave Shade",17,83.8
"13","Yorion, Sky Nomad",17,80.9
"14","Test of Talents",17,79.4
"15","Wilt",16,81.2
"16","Fire Prophecy",16,78.1
"17","Lurrus of the Dream-Den",16,82.8
"18","Elder Gargaroth",16,79.7
"19","Roiling Vortex",16,78.1
"20","Klothys, God of Destiny",16,76.6
"21","Crippling Fear",15,83.3
"22","Dead Weight",15,80
"23","Glass Casket",14,80.4
"24","Soul-Guide Lantern",12,83.3
"25","Vivien, Monsters' Advocate",11,81.8
"26","Eliminate",10,75
"27","Shark Typhoon",9,83.3
"28","Elspeth's Nightmare",9,83.3
"29","Shadows' Verdict",8,78.1
"30","Lullmage's Domination",8,81.2
"31","Polukranos, Unchained",8,84.4
"32","Shadowspear",8,75
"33","Go Blank",8,84.4
"34","Malevolent Hermit",8,84.4
"35","Chainweb Aracnir",7,82.1
"36","Koma, Cosmos Serpent",7,78.6
"37","Prismari Command",7,82.1
"38","Mascot Exhibition",7,82.1
"39","Questing Beast",6,83.3
"40","Scavenging Ooze",6,79.2
"41","Legion Angel",6,79.2
"42","Blazing Volley",6,79.2
"43","Shredded Sails",6,79.2
"44","Reidane, God of the Worthy",6,75
"45","Drannith Magistrate",6,75
"46","Environmental Sciences",6,87.5
"47","Thrashing Brontodon",5,80
"48","Ugin, the Spirit Dragon",5,80
"49","Heartless Act",5,90
"50","Disenchant",5,75
