"","SetCode","NoCopies","Winrate"
"1","ELD",1962,0.8
"2","ZNR",1428,0.803
"3","KHM",1073,0.8
"4","IKO",1065,0.809
"5","THB",742,0.798
"6","LEA",734,0.804
"7","ICE",490,0.792
"8","M21",415,0.801
"9","STX",301,0.813
"10","MID",258,0.811
"11","AFR",127,0.784
"12","KTK",112,0.816
"13","MOR",104,0.806
"14","THS",68,0.812
"15","USG",63,0.815
"16","M11",45,0.792
"17","JOU",42,0.792
"18","CMD",25,0.788
"19","RIX",19,0.818
"20","BNG",14,0.8
"21","XLN",11,0.833
"22","M10",10,0.875
"23","FRF",10,0.786
"24","PTK",8,0.75
"25","MH1",4,0.75
"26","INV",4,0.75
"27","MRD",4,0.75
"28","EMN",3,0.75
"29","ZEN",3,0.75
"30","STH",2,0.75
