"","SetCode","NoCopies","Winrate"
"1","LEA",35828,0.643
"2","ZEN",14254,0.645
"3","ALL",9653,0.642
"4","TMP",8793,0.64
"5","MH1",8423,0.641
"6","ATQ",7104,0.64
"7","GPT",7075,0.647
"8","NPH",6974,0.642
"9","ICE",6700,0.644
"10","MH2",5710,0.618
"11","ONS",5610,0.646
"12","FUT",5359,0.647
"13","CMD",4993,0.644
"14","ELD",4975,0.647
"15","M11",4844,0.65
"16","WAR",3969,0.641
"17","MBS",3577,0.642
"18","LEG",3247,0.639
"19","RTR",3122,0.642
"20","THB",2947,0.652
"21","EXO",2759,0.636
"22","M20",2739,0.633
"23","RAV",2664,0.641
"24","DST",2626,0.637
"25","LRW",2625,0.644
"26","WTH",2591,0.641
"27","KLD",2509,0.643
"28","KTK",2474,0.644
"29","DKA",2470,0.643
"30","LEB",2375,0.637
"31","HOU",2087,0.638
"32","SOM",2073,0.637
"33","SOK",2020,0.634
"34","MMQ",1958,0.649
"35","AER",1855,0.65
"36","MRD",1814,0.637
"37","GRN",1758,0.64
"38","USG",1705,0.639
"39","ARN",1633,0.647
"40","5DN",1594,0.637
"41","TOR",1513,0.636
"42","WWK",1475,0.637
"43","NEM",1474,0.654
"44","CMR",1350,0.65
"45","DIS",1300,0.626
"46","CNS",1173,0.635
"47","PHPR",1170,0.639
"48","CHK",1157,0.635
"49","ULG",1116,0.635
"50","ZNR",1067,0.636
"51","HML",966,0.647
"52","CN2",904,0.643
"53","VIS",871,0.657
"54","JUD",825,0.633
"55","RNA",779,0.65
"56","SOI",741,0.624
"57","MIR",713,0.651
"58","XLN",709,0.639
"59","ALA",691,0.621
"60","M19",666,0.628
"61","ROE",628,0.629
"62","DRK",580,0.631
"63","GTC",578,0.631
"64","CON",557,0.648
"65","CSP",523,0.627
"66","ORI",513,0.641
"67","STX",512,0.644
"68","C14",484,0.639
"69","FRF",475,0.652
"70","IKO",469,0.642
"71","SCG",454,0.656
"72","ISD",454,0.634
"73","ARB",386,0.642
"74","STH",372,0.625
"75","TSP",350,0.618
"76","AVR",333,0.637
"77","AKH",276,0.609
"78","PLC",229,0.625
"79","ODY",218,0.629
"80","M21",203,0.67
"81","DOM",202,0.632
"82","BOK",194,0.62
"83","DGM",188,0.668
"84","BNG",185,0.616
"85","OGW",156,0.646
"86","EMN",108,0.639
"87","C13",105,0.632
"88","SHM",103,0.551
"89","M14",61,0.625
"90","C20",58,0.592
"91","KHM",50,0.627
"92","PLS",41,0.648
"93","MID",36,0.569
"94","BFZ",34,0.695
"95","P02",24,0.722
"96","APC",23,0.658
"97","M13",20,0.5
"98","AFR",20,0.554
"99","INV",19,0.623
"100","JMP",18,0.69
"101","BBD",17,0.69
"102","PC2",17,0.651
"103","LGN",17,0.636
"104","JOU",17,0.625
"105","M12",16,0.571
"106","MOR",9,0.595
"107","SLD",7,0.619
"108","PTK",6,0.553
"109","C18",6,0.556
"110","C16",6,0.528
"111","EVE",4,0.5
"112","M15",3,0.7
"113","C19",3,0.75
"114","RIX",3,0.556
"115","THS",1,0.714
