"","Artist","NoCopies","Winrate"
"1","Dan Frazier",9314,0.628
"2","Terese Nielsen",8167,0.628
"3","Rob Alexander",8103,0.635
"4","Erica Yang",6485,0.631
"5","Christopher Rush",5854,0.63
"6","Kaja Foglio",5399,0.622
"7","Una Fricker",5340,0.627
"8","Mark Tedin",5014,0.627
"9","Svetlin Velinov",4689,0.635
"10","Mark Poole",4568,0.631
"11","Adam Rex",4430,0.632
"12","Jesper Myrfors",3710,0.63
"13","Kev Walker",3557,0.631
"14","Randy Vargas",3458,0.629
"15","Shelly Wan",3279,0.633
"16","Philip Straub",2886,0.635
"17","Jeff A. Menges",2790,0.63
"18","Cyril Van Der Haegen",2648,0.637
"19","Daniel Ljunggren",2564,0.634
"20","Magali Villeneuve",2536,0.628
"21","Nicola Leonard",2533,0.626
"22","Brian Snõddy",2380,0.623
"23","Christopher Moeller",2310,0.626
"24","Titus Lunter",2272,0.619
"25","Eric Deschamps",2248,0.629
"26","Steve Argyle",2108,0.627
"27","Paul Scott Canavan",2032,0.626
"28","Colin MacNeil",2018,0.623
"29","Daarken",1991,0.64
"30","Ron Spencer",1976,0.619
"31","Doug Chaffee",1964,0.623
"32","Pete Venters",1962,0.619
"33","Chippy",1941,0.627
"34","Steven Belledin",1885,0.631
"35","Heather Hudson",1797,0.617
"36","Amy Weber",1756,0.63
"37","Matt Stewart",1625,0.625
"38","Anson Maddocks",1620,0.623
"39","Cliff Childs",1610,0.635
"40","Daniel Gelon",1577,0.624
"41","Yongjae Choi",1562,0.633
"42","Joseph Meehan",1483,0.618
"43","Douglas Shuler",1467,0.635
"44","Pat Lee",1423,0.634
"45","NéNé Thomas",1376,0.631
"46","Raymond Swanland",1343,0.623
"47","Anthony Palumbo",1276,0.624
"48","Mark Zug",1253,0.625
"49","Matthew D. Wilson",1248,0.641
"50","Filip Burburan",1229,0.636
"51","Ryan Yee",1208,0.633
"52","Justin Murray",1205,0.638
"53","Wisnu Tan",1166,0.62
"54","Matt Thompson",1157,0.621
"55","Vance Kovacs",1119,0.628
"56","Jonas De Ro",1058,0.623
"57","Sandra Everingham",1010,0.641
"58","John Avon",990,0.62
"59","Igor Kieryluk",985,0.624
"60","Liz Danforth",967,0.636
"61","Cynthia Sheppard",951,0.625
"62","Volkan Baǵa",945,0.63
"63","Adrian Smith",912,0.649
"64","John Stanko",909,0.616
"65","rk post",890,0.624
"66","Seb McKinnon",888,0.622
"67","Stephen Daniele",855,0.624
"68","Tim Hildebrandt",841,0.631
"69","Chris Rahn",826,0.627
"70","Jason Felix",826,0.621
"71","Anastasia Ovchinnikova",815,0.606
"72","Nils Hamm",799,0.628
"73","G-host Lee",791,0.64
"74","Mike Raabe",765,0.625
"75","Ryan Pancoast",728,0.632
"76","Gary Leach",722,0.643
"77","Edward P. Beard, Jr.",691,0.621
"78","Sidharth Chaturvedi",683,0.628
"79","Joel Thomas",666,0.621
"80","Matt Cavotta",652,0.625
"81","Greg Hildebrandt & Tim Hildebrandt",644,0.618
"82","Lake Hurwitz",634,0.625
"83","Michael Sutfin",617,0.625
"84","Jean-Sébastien Rossbach",608,0.612
"85","Chase Stone",606,0.614
"86","Karl Kopinski",597,0.614
"87","Kieran Yanner",589,0.623
"88","Carl Critchlow",576,0.623
"89","David O'Connor",572,0.638
"90","Greg Hildebrandt",567,0.618
"91","Vincent Proce",562,0.634
"92","Anthony S. Waters",519,0.622
"93","Lie Setiawan",513,0.649
"94","Chuck Lukacs",510,0.627
"95","Jesper Ejsing",482,0.645
"96","Scott Murphy",476,0.641
"97","Dan Scott",437,0.626
"98","Jason A. Engle",434,0.643
"99","Daren Bader",419,0.616
"100","Simon Dominic",416,0.597
"101","Kaja Foglio & Phil Foglio",409,0.633
"102","Dany Orizio",380,0.615
"103","Craig J Spearing",371,0.624
"104","Howard Lyon",328,0.626
"105","Ekaterina Burmak",307,0.65
"106","David Martin",304,0.638
"107","Jana Schirmer & Johannes Voss",304,0.612
"108","David Monette",302,0.624
"109","Stephan Martiniere",299,0.623
"110","Nicholas Gregory",298,0.596
"111","Chris Seaman",297,0.646
"112","Sung Choi",296,0.652
"113","Jason Chan",290,0.591
"114","Harold McNeill",288,0.632
"115","Martina Pilcerova",275,0.626
"116","Grzegorz Rutkowski",263,0.623
"117","April Lee",236,0.629
"118","Jokubas Uogintas",228,0.598
"119","Mads Ahm",227,0.625
"120","Raoul Vitale",218,0.607
"121","Greg Staples",212,0.606
"122","Lawrence Snelly",205,0.641
"123","Livia Prima",198,0.624
"124","Jim Nelson",192,0.619
"125","Todd Lockwood",187,0.63
"126","Chris Rallis",181,0.645
"127","Jung Park",172,0.647
"128","Gabor Szikszai",168,0.647
"129","Franz Vohwinkel",164,0.618
"130","Scott M. Fischer",155,0.603
"131","Chris Cold",154,0.646
"132","Adam Paquette",150,0.617
"133","Aleksi Briclot",147,0.622
"134","Wayne England",133,0.611
"135","Slawomir Maniak",130,0.625
"136","Martina Fackova",125,0.56
