"","SetCode","NoCopies","Winrate"
"1","LEA",30991,0.629
"2","ZEN",12306,0.632
"3","ALL",8354,0.629
"4","TMP",7644,0.625
"5","MH1",7334,0.627
"6","ATQ",6166,0.626
"7","GPT",6080,0.633
"8","NPH",6026,0.628
"9","ICE",5785,0.631
"10","MH2",5112,0.606
"11","ONS",4845,0.633
"12","FUT",4546,0.632
"13","CMD",4368,0.632
"14","ELD",4330,0.634
"15","M11",4138,0.636
"16","WAR",3445,0.628
"17","MBS",3115,0.628
"18","LEG",2827,0.626
"19","RTR",2723,0.631
"20","THB",2542,0.639
"21","M20",2453,0.621
"22","EXO",2419,0.622
"23","WTH",2296,0.629
"24","LRW",2278,0.63
"25","RAV",2249,0.623
"26","DST",2241,0.622
"27","KLD",2193,0.631
"28","DKA",2139,0.63
"29","KTK",2098,0.63
"30","LEB",2034,0.623
"31","SOM",1838,0.625
"32","HOU",1800,0.621
"33","SOK",1768,0.622
"34","MMQ",1684,0.635
"35","AER",1615,0.638
"36","MRD",1593,0.621
"37","USG",1478,0.625
"38","GRN",1476,0.622
"39","5DN",1424,0.624
"40","ARN",1417,0.632
"41","WWK",1313,0.624
"42","TOR",1306,0.619
"43","NEM",1285,0.641
"44","DIS",1170,0.614
"45","CMR",1152,0.636
"46","CHK",1027,0.623
"47","PHPR",1017,0.625
"48","CNS",1015,0.621
"49","ULG",977,0.622
"50","ZNR",898,0.622
"51","HML",831,0.633
"52","CN2",776,0.63
"53","VIS",732,0.643
"54","JUD",694,0.612
"55","RNA",658,0.634
"56","ALA",632,0.61
"57","SOI",628,0.607
"58","XLN",621,0.625
"59","MIR",605,0.636
"60","M19",596,0.615
"61","ROE",574,0.617
"62","DRK",512,0.616
"63","CON",489,0.639
"64","GTC",482,0.615
"65","CSP",459,0.616
"66","ORI",419,0.623
"67","STX",418,0.625
"68","IKO",411,0.627
"69","C14",411,0.621
"70","FRF",407,0.637
"71","ISD",405,0.619
"72","SCG",388,0.641
"73","ARB",342,0.631
"74","STH",337,0.612
"75","TSP",315,0.609
"76","AVR",257,0.616
"77","AKH",237,0.591
"78","ODY",196,0.616
"79","PLC",183,0.605
"80","DOM",179,0.617
"81","BNG",169,0.608
"82","BOK",165,0.604
"83","M21",155,0.647
"84","DGM",153,0.646
"85","OGW",111,0.616
"86","SHM",101,0.537
"87","C13",93,0.619
"88","EMN",91,0.627
"89","M14",53,0.615
"90","C20",47,0.548
"91","KHM",42,0.614
"92","PLS",39,0.64
"93","MID",36,0.569
"94","BFZ",29,0.677
"95","AFR",20,0.554
"96","M13",18,0.474
"97","PC2",16,0.634
"98","JOU",16,0.607
"99","INV",16,0.585
"100","M12",14,0.556
"101","APC",13,0.578
"102","LGN",10,0.594
"103","MOR",8,0.576
"104","P02",7,0.676
"105","BBD",7,0.615
"106","SLD",6,0.605
"107","PTK",6,0.553
"108","C18",6,0.556
"109","C16",6,0.528
"110","JMP",6,0.538
"111","EVE",4,0.5
"112","RIX",3,0.556
"113","THS",1,0.714
"114","M15",1,0.5
