"","CardNames","DeckCount","Winrate95Min"
"1","Vampiric Tutor",843,64.4
"2","Daze",952,64.2
"3","Underworld Breach",223,64.1
"4","Brain Freeze",227,64.1
"5","Dakmor Salvage",51,64
"6","Gush",1256,64
"7","Preordain",1353,64
"8","Underground Sea",1325,64
"9","Demonic Tutor",1300,64
"10","Doomsday",261,63.9
"11","Flooded Strand",1374,63.9
"12","Bloodghast",151,63.8
"13","Mystical Dispute",251,63.8
"14","Mystical Tutor",669,63.8
"15","Scalding Tarn",1459,63.8
"16","Dig Through Time",1413,63.8
"17","Grafdigger's Cage",51,63.7
"18","Thassa's Oracle",284,63.7
"19","Demonic Consultation",267,63.7
"20","Polluted Delta",1460,63.7
"21","Ponder",1847,63.7
"22","Misty Rainforest",1776,63.7
"23","Dreadhorde Arcanist",389,63.6
"24","Brainstorm",1912,63.6
"25","Mental Misstep",2378,63.6
"26","Black Lotus",2590,63.6
"27","Mox Jet",2298,63.6
"28","Necropotence",269,63.5
"29","Tundra",579,63.5
"30","Mystic Sanctuary",700,63.5
"31","Merchant Scroll",966,63.5
"32","Island",1088,63.5
"33","Flusterstorm",1839,63.5
"34","Force of Will",2211,63.5
"35","Ancestral Recall",2051,63.5
"36","Time Walk",2000,63.5
"37","Mox Sapphire",2661,63.5
"38","Walking Ballista",151,63.4
"39","Portent",151,63.4
"40","Street Wraith",306,63.4
"41","Dark Ritual",293,63.4
"42","Tarmogoyf",525,63.4
"43","Gitaxian Probe",1999,63.3
"44","Mox Pearl",1713,63.3
"45","Steel Overseer",53,63.2
"46","Fleetwheel Cruiser",112,63.2
"47","Teferi, Time Raveler",170,63.2
"48","Lightning Bolt",454,63.2
"49","Mox Emerald",2016,63.2
"50","Lavinia, Azorius Renegade",386,63.1
