"","CardNames","DeckCount","WinrateAverage"
"1","Black Lotus",352,79.1
"2","Mox Sapphire",352,79
"3","Mental Misstep",323,79
"4","Force of Will",298,78.7
"5","Mox Jet",293,79.2
"6","Ancestral Recall",275,78.6
"7","Gitaxian Probe",271,78.6
"8","Time Walk",268,78.6
"9","Brainstorm",261,78.6
"10","Mox Emerald",258,78.6
"11","Mox Ruby",256,79.3
"12","Ponder",254,78.6
"13","Misty Rainforest",242,78.3
"14","Flusterstorm",241,78.6
"15","Mox Pearl",227,79.5
"16","Strip Mine",223,78.7
"17","Dig Through Time",214,78.8
"18","Wasteland",211,78.6
"19","Scalding Tarn",200,79
"20","Polluted Delta",196,79
"21","Force of Negation",195,78.9
"22","Preordain",189,79.1
"23","Demonic Tutor",186,78.7
"24","Flooded Strand",185,79.3
"25","Narset, Parter of Veils",184,78.1
"26","Gush",178,79
"27","Underground Sea",176,78.6
"28","Treasure Cruise",161,77.6
"29","Island",155,79.1
"30","Mana Crypt",152,79.7
"31","Sol Ring",146,79.4
"32","Merchant Scroll",135,78.9
"33","Daze",130,79.4
"34","Vampiric Tutor",122,79.2
"35","Volcanic Island",118,78.6
"36","Chalice of the Void",117,81.4
"37","Pyroblast",113,78.8
"38","Tolarian Academy",111,79.3
"39","Mystic Sanctuary",108,79
"40","Tropical Island",105,77.5
"41","Mystical Tutor",98,79.2
"42","Oko, Thief of Crowns",96,77.2
"43","Tundra",89,79.5
"44","Dack Fayden",83,78.8
"45","Tinker",81,79
"46","Tarmogoyf",79,76.7
"47","Thorn of Amethyst",78,80.4
"48","Trinisphere",77,80.8
"49","Ancient Tomb",77,80.8
"50","Lightning Bolt",74,78.9
