"","CardNames","DeckCount","WinrateAverage"
"1","The Tabernacle at Pendrell Vale",184,78.1
"2","Leyline of the Void",157,80
"3","Mindbreak Trap",155,79.5
"4","Grafdigger's Cage",123,79.2
"5","Flusterstorm",115,78.3
"6","Pithing Needle",115,79
"7","Force of Vigor",108,78
"8","Ravenous Trap",103,78.9
"9","Surgical Extraction",101,78.3
"10","Soul-Guide Lantern",85,78.6
"11","Shattering Spree",81,80.1
"12","Pyroblast",81,79.2
"13","Swords to Plowshares",80,80.5
"14","Hurkyl's Recall",73,78.1
"15","Fatal Push",70,79.2
"16","Energy Flux",69,77.8
"17","Wurmcoil Engine",59,81.2
"18","Yixlid Jailer",47,79.4
"19","Collector Ouphe",47,79.5
"20","Opposition Agent",45,81.9
"21","Null Rod",44,81
"22","Archive Trap",43,78.9
"23","Tormod's Crypt",40,79.3
"24","Mountain",39,81.1
"25","Blightsteel Colossus",38,76.6
"26","Steel Sabotage",38,80.5
"27","Containment Priest",38,81
"28","Mycosynth Lattice",33,79.3
"29","Lightning Bolt",33,76.9
"30","Island",32,81.2
"31","Ensnaring Bridge",29,82.9
"32","Endurance",28,77.8
"33","Force of Negation",25,80.2
"34","Nature's Claim",24,78.6
"35","Wasteland",22,78.7
"36","Wear // Tear",22,83.1
"37","Stonecoil Serpent",22,80
"38","Abrupt Decay",21,73.3
"39","Duress",20,81.7
"40","Assassin's Trophy",20,80.7
"41","Veil of Summer",19,77.9
"42","Eliminate",18,81.9
"43","Dismember",17,77.9
"44","Sphinx of the Steel Wind",17,83.8
"45","Contagion",17,80.9
"46","Relic of Progenitus",17,79.7
"47","By Force",16,77.3
"48","Bojuka Bog",15,80.3
"49","Lurrus of the Dream-Den",15,80.3
"50","Alpine Moon",15,75.8
