"","ArtistName","Winrate","Presence"
"1","Svetlin Velinov",NA,0
"2","Magali Villeneuve",NA,0
"3","Yongjae Choi",NA,0
"4","Dan Frazier",NA,0
"5","Jesper Myrfors",NA,0
"6","Douglas Shuler",NA,0
"7","Rob Alexander",NA,0
"8","Daniel Gelon",NA,0
"9","Una Fricker",NA,0
"10","Terese Nielsen",NA,0
"11","Shelly Wan",NA,0
"12","Erica Yang",NA,0
"13","Christopher Rush",NA,0
"14","Steve Argyle",NA,0
"15","Mark Tedin",NA,0
"16","Amy Weber",NA,0
"17","Mark Poole",NA,0
"18","Harold McNeill",NA,0
"19","Justin Murray",NA,0
"20","Paul Scott Canavan",NA,0
"21","Kev Walker",NA,0
"22","Chippy",NA,0
"23","Filip Burburan",NA,0
"24","Matthew D. Wilson",NA,0
"25","Ryan Yee",NA,0
"26","Philip Straub",NA,0
"27","Vance Kovacs",NA,0
"28","Cynthia Sheppard",NA,0
"29","David O'Connor",NA,0
"30","Eric Deschamps",NA,0
"31","Mark Zug",NA,0
"32","Stephen Daniele",NA,0
"33","Liz Danforth",NA,0
"34","Gary Leach",NA,0
"35","Pat Morrissey",NA,0
"36","Kaja Foglio",NA,0
"37","Brian Snõddy",NA,0
"38","Chuck Lukacs",NA,0
"39","Tim Hildebrandt",NA,0
"40","Colin MacNeil",NA,0
"41","Randy Vargas",NA,0
"42","Chris Rahn",NA,0
"43","Doug Chaffee",NA,0
"44","Sidharth Chaturvedi",NA,0
"45","Chris Rallis",NA,0
"46","Chase Stone",NA,0
"47","Titus Lunter",NA,0
"48","Steven Belledin",NA,0
"49","Lius Lasahido",NA,0
"50","Daniel Ljunggren",NA,0
"51","Sung Choi",NA,0
"52","G-host Lee",NA,0
"53","Nicola Leonard",NA,0
"54","Carl Critchlow",NA,0
"55","Jason A. Engle",NA,0
"56","Kaja Foglio & Phil Foglio",NA,0
"57","Vincent Proce",NA,0
"58","Joseph Meehan",NA,0
"59","Kieran Yanner",NA,0
"60","Cyril Van Der Haegen",NA,0
"61","Jeff A. Menges",NA,0
"62","Anson Maddocks",NA,0
"63","NéNé Thomas",NA,0
"64","Dan Scott",NA,0
"65","Mike Raabe",NA,0
"66","Jonas De Ro",NA,0
"67","Michael Sutfin",NA,0
"68","Nils Hamm",NA,0
"69","Volkan Baǵa",NA,0
"70","Jesper Ejsing",NA,0
"71","Adrian Smith",NA,0
"72","Sandra Everingham",NA,0
"73","Ekaterina Burmak",NA,0
"74","Anthony Palumbo",NA,0
"75","Ron Spencer",NA,0
"76","David Martin",NA,0
"77","Craig J Spearing",NA,0
"78","Stephan Martiniere",NA,0
"79","John Avon",NA,0
"80","Adam Rex",NA,0
"81","Heather Hudson",NA,0
"82","April Lee",NA,0
"83","Igor Kieryluk",NA,0
"84","Daren Bader",NA,0
"85","Dany Orizio",NA,0
"86","Seb McKinnon",NA,0
"87","Christopher Moeller",NA,0
"88","Daarken",NA,0
"89","Wisnu Tan",NA,0
"90","Howard Lyon",NA,0
"91","Jana Schirmer & Johannes Voss",NA,0
"92","Greg Hildebrandt",NA,0
"93","Karl Kopinski",NA,0
"94","Edward P. Beard, Jr.",NA,0
"95","Matt Stewart",NA,0
"96","Matt Thompson",NA,0
"97","Pat Lee",NA,0
"98","Lie Setiawan",NA,0
"99","David Monette",NA,0
"100","Rebecca Guay",NA,0
"101","Lake Hurwitz",NA,0
"102","Jean-Sébastien Rossbach",NA,0
"103","Chris Seaman",NA,0
"104","Raymond Swanland",NA,0
"105","Eric Fortune",NA,0
"106","Ryan Pancoast",NA,0
"107","Aleksi Briclot",NA,0
"108","David Rapoza",NA,0
"109","Jaime Jones",NA,0
"110","Pete Venters",NA,0
"111","Ken Meyer, Jr.",NA,0
"112","Greg Staples",NA,0
"113","Mads Ahm",NA,0
"114","Scott M. Fischer",NA,0
"115","Jason Chan",NA,0
"116","Todd Lockwood",NA,0
"117","rk post",NA,0
"118","Joel Thomas",NA,0
"119","Greg Hildebrandt & Tim Hildebrandt",NA,0
"120","Paolo Parente",NA,0
"121","Glen Angus",NA,0
"122","Scott Murphy",NA,0
"123","John Stanko",NA,0
"124","DiTerlizzi",NA,0
"125","Campbell White",NA,0
"126","Yeong-Hao Han",NA,0
"127","Grzegorz Rutkowski",NA,0
"128","Jason Rainville",NA,0
"129","Cliff Childs",NA,0
"130","Jim Nelson",NA,0
"131","Johannes Voss",NA,0
"132","Slawomir Maniak",NA,0
"133","Ron Spears",NA,0
"134","Eric Peterson",NA,0
"135","Tom Wänerstrand",NA,0
"136","Jung Park",NA,0
"137","Anthony S. Waters",NA,0
