"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"1","_INF_",3,18,0.722222222222222,0.465198034416944,0.903050787474441,39,"Unknown","3","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#_inf__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#_inf__st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2021-04-17#_inf__-"
"2","WhiTe TsaR",1,10,0.8,0.443904537692359,0.974789273673167,24,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#white_tsar_st_place"
"3","Dazai",2,13,0.615384615384615,0.315777602914063,0.861420661109839,24,"Unknown","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#dazai_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#dazai_th_place"
"4","LORiWWA",2,13,0.615384615384615,0.315777602914063,0.861420661109839,24,"Unknown","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#loriwwa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#loriwwa_th_place"
"5","hodortimebaby",2,13,0.615384615384615,0.315777602914063,0.861420661109839,24,"Unknown","2","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#hodortimebaby_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#hodortimebaby_th_place"
"6","Phill_Hellmuth",1,9,0.888888888888889,0.517503485082663,0.997190863253401,24,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#phill_hellmuth_st_place"
"7","discoverN",1,10,0.7,0.347547149940003,0.933260488822266,21,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#discovern_nd_place"
"8","wambocMad",1,8,0.875,0.473490329124793,0.996840276468748,21,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#wambocmad_th_place"
"9","HouseOfManaMTG",1,9,0.777777777777778,0.399906426283688,0.971855026522102,21,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#houseofmanamtg_nd_place"
"10","Amiracle",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#amiracle_rd_place"
"11","twinlesstwin",1,9,0.666666666666667,0.29929505620854,0.925145368580308,18,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#twinlesstwin_th_place"
"12","yamakiller",1,8,0.75,0.349144205587176,0.968145973750056,18,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#yamakiller_th_place"
"13","Kenzaburo",1,8,0.75,0.349144205587176,0.968145973750056,18,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#kenzaburo_th_place"
"14","yoshiwata",1,8,0.75,0.349144205587176,0.968145973750056,18,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#yoshiwata_rd_place"
"15","ZYURYO",1,8,0.75,0.349144205587176,0.968145973750056,18,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#zyuryo_th_place"
"16","Weenie__",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#weenie___th_place"
"17","Sprouts",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#sprouts_th_place"
"18","Kuhb",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#kuhb_th_place"
"19","zachattack23",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#zachattack_th_place"
"20","PRGJJAR",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#prgjjar_th_place"
"21","MaxMagicer",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#maxmagicer_th_place"
"22","Cioffo86",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#cioffo_th_place"
"23","GGoggles",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#ggoggles_th_place"
"24","TrueHero",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#truehero_th_place"
"25","burrarun",1,7,0.714285714285714,0.290420863737343,0.963307433823914,15,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#burrarun_th_place"
"26","Miharu_Fuyumiya",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#miharu_fuyumiya_th_place"
"27","Clone9",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#clone_th_place"
"28","Slasher21",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#slasher_th_place"
"29","Thiim",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#thiim_st_place"
"30","Viceroy_",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#viceroy__nd_place"
"31","BlueSkiesJ",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#blueskiesj_rd_place"
"32","SourceOdin",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#sourceodin_th_place"
"33","John1111",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#john_th_place"
"34","EddyViscosity",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#eddyviscosity_th_place"
"35","Pun1sher",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#punsher_th_place"
"36","ReneRandrup",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#renerandrup_th_place"
"37","thepowernine",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#thepowernine_th_place"
"38","medvedev",1,7,0.571428571428571,0.184051567640083,0.901011721557492,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#medvedev_th_place"
"39","swayjisse",1,6,0.666666666666667,0.222778095503512,0.956728131707258,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#swayjisse_th_place"
"40","Diem4x",1,6,0.666666666666667,0.222778095503512,0.956728131707258,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#diemx_th_place"
"41","onlooker1022",1,6,0.666666666666667,0.222778095503512,0.956728131707258,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#onlooker_th_place"
"42","MadMaxErnst",1,6,0.666666666666667,0.222778095503512,0.956728131707258,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#madmaxernst_th_place"
"43","SenpaiBlank",1,6,0.666666666666667,0.222778095503512,0.956728131707258,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#senpaiblank_th_place"
"44","karn_90",1,6,0.666666666666667,0.222778095503512,0.956728131707258,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#karn__th_place"
"45","OxyWithMoxy",1,6,0.666666666666667,0.222778095503512,0.956728131707258,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#oxywithmoxy_th_place"
"46","otakkun",1,6,0.666666666666667,0.222778095503512,0.956728131707258,12,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#otakkun_th_place"
"47","Condescend",1,7,0.428571428571429,0.0989882784425079,0.815948432359917,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#condescend_st_place"
"48","Falkoneye",1,7,0.428571428571429,0.0989882784425079,0.815948432359917,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#falkoneye_nd_place"
"49","mei0024",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#mei_th_place"
"50","bennybo",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#bennybo_nd_place"
"51","geekyjackson",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#geekyjackson_rd_place"
"52","_Shatun_",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#_shatun__th_place"
"53","noprops",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#noprops_th_place"
"54","ziofrancone",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#ziofrancone_th_place"
"55","Darkmattergun",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#darkmattergun_th_place"
"56","shir kahn",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#shir_kahn_th_place"
"57","Nammersquats",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#nammersquats_th_place"
"58","Basi",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#basi_th_place"
"59","LeoFa",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#leofa_st_place"
"60","ger5559",1,6,0.5,0.118117248757025,0.881882751242975,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#ger_nd_place"
"61","Jacobisboss",1,4,0.75,0.194120449683243,0.99369053679029,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2021-04-17#jacobisboss_-"
"62","BrokenPots_CB",1,4,0.75,0.194120449683243,0.99369053679029,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2021-04-17#brokenpots_cb_-"
"63","s063",1,4,0.75,0.194120449683243,0.99369053679029,9,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-preliminary-2021-04-17#s_-"
