"","CardNames","DeckCount","Winrate95Min"
"1","Force of Vigor",14,60.7
"2","The Tabernacle at Pendrell Vale",25,59.9
"3","Energy Flux",9,58.7
"4","Grafdigger's Cage",25,58.4
"5","Leyline of the Void",27,58.3
"6","Fatal Push",16,58.2
"7","Mindbreak Trap",29,57.4
"8","Surgical Extraction",13,56.8
"9","Flusterstorm",14,56.7
"10","Abrupt Decay",5,55.6
"11","Ravenous Trap",25,55.3
"12","Pithing Needle",19,55.1
"13","Pyroblast",14,53.5
"14","Collector Ouphe",8,52.9
"15","Wurmcoil Engine",17,52.9
"16","Assassin's Trophy",4,51.3
"17","Swords to Plowshares",17,50.6
"18","Nature's Claim",6,50.5
"19","Skysovereign, Consul Flagship",7,50.4
"20","Fragmentize",2,50.1
"21","Opposition Agent",8,50.1
"22","Soul-Guide Lantern",16,50.1
"23","Steel Sabotage",7,49.2
"24","Containment Priest",9,49.1
"25","Tormod's Crypt",9,49
"26","Blightsteel Colossus",5,47.8
"27","Hurkyl's Recall",4,47.6
"28","Shattering Spree",11,47.3
"29","Stonecoil Serpent",11,46.9
"30","Duress",6,46.7
"31","Archive Trap",9,46.6
"32","Mental Misstep",6,46.5
"33","Deafening Silence",8,46.4
"34","Island",4,45.7
"35","Veil of Summer",4,45.7
"36","Balance",3,45.1
"37","Null Rod",8,45.1
"38","Toxic Deluge",2,44.9
"39","Kataki, War's Wage",4,42.7
"40","Ensnaring Bridge",7,42.2
"41","Tasigur, the Golden Fang",2,41.9
"42","Mystical Dispute",2,41.9
"43","Mountain",8,41.3
"44","Disenchant",3,41
"45","Lightning Bolt",3,40.8
"46","Mycosynth Lattice",5,40.6
"47","Ancient Grudge",2,38.4
"48","Relic of Progenitus",4,36.9
"49","Crucible of Worlds",2,35.1
"50","Force of Negation",2,35.1
