"","CardNames","DeckCount","WinrateAverage"
"1","Fragmentize",2,76.5
"2","Bojuka Bog",1,75
"3","Abrupt Decay",5,73.5
"4","Toxic Deluge",2,73.3
"5","Energy Flux",9,71.4
"6","Assassin's Trophy",4,71.4
"7","Tasigur, the Golden Fang",2,71.4
"8","Mystical Dispute",2,71.4
"9","Oko, Thief of Crowns",1,71.4
"10","Gaea's Cradle",1,71.4
"11","Petrified Field",1,71.4
"12","Noxious Revival",1,71.4
"13","Contagion",1,71.4
"14","Force of Despair",1,71.4
"15","Kambal, Consul of Allocation",1,71.4
"16","Liliana, the Last Hope",1,71.4
"17","Hullbreacher",1,71.4
"18","Force of Vigor",14,70.7
"19","Library of Alexandria",1,70
"20","Balance",3,68.2
"21","Hurkyl's Recall",4,67.9
"22","Fatal Push",16,67.5
"23","The Tabernacle at Pendrell Vale",25,67.4
"24","Surgical Extraction",13,67.4
"25","Collector Ouphe",8,67.3
"26","Flusterstorm",14,67
"27","Nature's Claim",6,66.7
"28","Disenchant",3,66.7
"29","Ancient Grudge",2,66.7
"30","Angel's Grace",1,66.7
"31","Thalia, Heretic Cathar",1,66.7
"32","Path to Exile",1,66.7
"33","Chalice of the Void",1,66.7
"34","Serenity",1,66.7
"35","Serum Powder",1,66.7
"36","Stony Silence",1,66.7
"37","Grafdigger's Cage",25,66.1
"38","Blightsteel Colossus",5,65.7
"39","Leyline of the Void",27,65.6
"40","Island",4,65.5
"41","Veil of Summer",4,65.5
"42","Skysovereign, Consul Flagship",7,65.3
"43","Kataki, War's Wage",4,65.2
"44","Lightning Bolt",3,65
"45","Mindbreak Trap",29,64.6
"46","Crucible of Worlds",2,64.3
"47","Force of Negation",2,64.3
"48","Yixlid Jailer",2,64.3
"49","Pithing Needle",19,64.1
"50","Steel Sabotage",7,64
