"","SetName","Winrate","Presence"
"1","MH1",NA,0
"2","LEG",NA,0
"3","ATQ",NA,0
"4","DKA",NA,0
"5","GPT",NA,0
"6","AER",NA,0
"7","ZEN",NA,0
"8","NPH",NA,0
"9","CMD",NA,0
"10","RTR",NA,0
"11","SOK",NA,0
"12","ICE",NA,0
"13","SOM",NA,0
"14","GRN",NA,0
"15","LEA",NA,0
"16","WWK",NA,0
"17","KLD",NA,0
"18","CMR",NA,0
"19","THB",NA,0
"20","MBS",NA,0
"21","C14",NA,0
"22","DRK",NA,0
"23","ELD",NA,0
"24","USG",NA,0
"25","M20",NA,0
"26","WTH",NA,0
"27","C13",NA,0
"28","STH",NA,0
"29","FRF",NA,0
"30","DST",NA,0
"31","TSP",NA,0
"32","ALA",NA,0
"33","5DN",NA,0
"34","FUT",NA,0
"35","ARN",NA,0
"36","TMP",NA,0
"37","IKO",NA,0
"38","ODY",NA,0
"39","ALL",NA,0
"40","EMN",NA,0
"41","HOU",NA,0
"42","WAR",NA,0
"43","CON",NA,0
"44","MRD",NA,0
"45","ISD",NA,0
"46","M14",NA,0
"47","STX",NA,0
"48","AKH",NA,0
"49","XLN",NA,0
"50","ULG",NA,0
"51","NEM",NA,0
"52","DGM",NA,0
"53","EXO",NA,0
"54","ROE",NA,0
