"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"1","WhiTe TsaR",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#white_tsar_st_place"
"2","discoverN",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#discovern_nd_place"
"3","Amiracle",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#amiracle_rd_place"
"4","twinlesstwin",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#twinlesstwin_th_place"
"5","wambocMad",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#wambocmad_th_place"
"6","_INF_",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#_inf__th_place"
"7","yamakiller",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#yamakiller_th_place"
"8","Kenzaburo",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-18#kenzaburo_th_place"
"9","Phill_Hellmuth",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#phill_hellmuth_st_place"
"10","HouseOfManaMTG",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#houseofmanamtg_nd_place"
"11","yoshiwata",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#yoshiwata_rd_place"
"12","ZYURYO",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#zyuryo_th_place"
"13","GGoggles",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#ggoggles_th_place"
"14","TrueHero",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#truehero_th_place"
"15","burrarun",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#burrarun_th_place"
"16","medvedev",1,"Unknown","1","https://magic.wizards.com/en/articles/archive/mtgo-standings/vintage-challenge-2021-04-19#medvedev_th_place"
